atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060331947,1174010900,C02,A1,14/16,25000,20,12,남동향,37.538377,127.128295,천호초초역세권.도보3분이내.최고급자재.최고의 입지.직장인 강추1순위,"['2년이내', '역세권', '화장실한개']",부동산중개법인한가
2060335704,1174010900,C02,A1,6/6,49000,52,42,동향,37.545757,127.132425,천호동  내부 구조 좋은 복층 신축빌라,"['2년이내', '화장실세개', '소형평수']",마이하우징공인중개사사무소
2060737855,1174010600,A01,A1,9/16,107000,83,59,남향,37.534474,127.145882,완전급매물  세앉고 남향 2018.12.1. 9호선 개통 내부깨끗,"['15년이내', '급매', '방세개', '화장실두개']",새벽공인중개사사무소
2060736496,1174010300,A01,A1,6/25,117000,84,59,남서향,37.550733,127.16277,25p 급매 세안고투자 9호선호재 숲세권 한영중고우수학군,"['4년이내', '급매', '방세개', '화장실두개']",고덕스카이공인중개사사무소
2060560878,1174010300,A01,A1,4/17,147000,111,84,남향,37.548571,127.168541,급매추천 입주가능 매수후전세가능 상일공원뷰 한영중고,"['2년이내', '대단지', '급매', '방세개']",고덕스카이공인중개사사무소
2060561678,1174010100,A01,A1,8/35,150000,105,78,남향,37.553479,127.1447,명일역 초역세권 정남향 에어컨2,"['2년이내', '역세권', '대단지', '방세개']",부자공인중개사사무소
2060509428,1174010600,A01,A1,6/24,125000,111,84,남동향,37.534056,127.145366,급  매물   9호선 개통 수혜단지   로얄층  내부깨끗,"['15년이내', '급매', '방세개', '화장실두개']",새벽공인중개사사무소
2060376286,1174010300,A01,A1,5/22,132000,81,59,동향,37.556112,127.170625,"급매,역세권,생활편리하고 고덕천 전망좋아요,어린이공원근접,올확장,에어컨4","['2년이내', '역세권', '대단지']",고덕스타공인중개사사무소
2060492273,1174010600,A01,A1,18/23,128000,113,84,남향,37.533782,127.146116,"특급추천,선호하는동,확장올수리.","['15년이내', '올수리', '방세개', '화장실두개']",진흥공인중개사
2060766113,1174010300,A01,A1,5/15,150000,112,84,남향,37.551734,127.164792,"즉시 입주가,정남향교육,교통여건 탁월,시에3대","['4년이내', '방세개', '화장실두개', '세대당1대']",센트럴부자공인중개사사무소
2060766271,1174010300,A01,A1,3/25,150000,112,84,남동향,37.550733,127.16277,"실입주 가능 교육여건 A급,환경최상급,교통여건A급지.","['4년이내', '방세개', '화장실두개', '세대당1대']",센트럴부자공인중개사사무소
2060773773,1174010300,A01,A1,9/17,107000,111,84,남서향,37.551012,127.175458,"입주, 실매물 선호동의 최근 인테리어.","['10년이내', '대단지', '방세개', '화장실두개']",한강공인중개사사무소
2060779449,1174010800,A03,A1,4/15,30000,44,33,남서향,37.535197,127.132556,입주가능 상태최상 강동역앞 1.5룸 풀옵션 밝고 환한집,"['25년이내', '역세권', '소형평수']",sk공인중개사사무소
2060781885,1174010900,A02,A1,10/10,15000,40,24,북동향,37.538388,127.133945,급매 강동역 도보3분거리 풀옵션 전세가수준 원룸 오피스텔 매매,"['4년이내', '역세권', '급매']",강동스카이공인중개사사무소
2060805263,1174010300,A01,A1,16/25,147000,112,84,남동향,37.550733,127.16277,전속중개 세안고투자 미래가치높음 최고로얄동층 한영중고학군 9호선확정호재,"['4년이내', '방세개', '화장실두개', '중층']",고덕스카이공인중개사사무소
2060773610,1174011000,A01,A1,1/14,75000,82,59,남향,37.568144,127.174658,"단지 인근에 중심상업지역, 초중고 가있는 최고의 선호단지","['15년이내', '1층', '방세개', '화장실두개']",부동산1번지공인중개사사무소
2060790133,1174010100,A01,A1,15/15,122000,106,83,남향,37.548875,127.149871,귀한 입주가능한 매매물건으로 보시면 마음에 드실겁니다.,"['25년이상', '대단지', '탑층', '방세개']",현대공인중개사무소
2060778125,1174010300,A01,A1,2/17,102000,111,84,남동향,37.551012,127.175458,"정원이 이쁜집, 전세안고.","['10년이내', '대단지', '방세개', '화장실두개']",한강공인중개사사무소
2060806497,1174011000,A01,A1,10/13,100000,110,84,남서향,37.566344,127.174949,"02 3013 2700 입주가능함.ㅌ올수리.로얄동,로얄층","['15년이내', '올수리', '방세개', '화장실두개']",우리공인중개사사무소
2060773548,1174010300,A01,A1,11/16,135000,150,114,남서향,37.55254,127.17363,"입주,전망좋고 최근인테리어수리 ","['10년이내', '대단지', '대형평수', '방네개이상']",한강공인중개사사무소
2060749572,1174010900,A03,A1,31/45,145000,121,84,,37.537341,127.132464,"BEST 롯데타워 한강뷰 각방에어컨 입주,소액갭투자가능 주인거주 깔끔","['4년이내', '역세권', '방세개', '화장실두개']",강동래미안성실공인중개사사무소
2060757242,1174010900,A03,A1,7/44,137000,121,84,,37.537847,127.131635,"정원뷰강추 입주가능 각방에어컨 중문 헬스,사우나무료   강동역지하연결","['4년이내', '역세권', '방세개']",열매공인중개사사무소
2060604294,1174010900,C02,A1,4/5,30000,58,51,남향,37.545782,127.122671,실매물.전세2억3천끼고.보일러.도배.번호키교체.탁트인남향.판상형.한강1분,"['25년이내', '소형평수', '방세개']",명품자이공인중개사사무소
2060307795,1174010500,A03,A1,11/15,75000,101,83,남향,37.538115,127.135996,정남향의 막힘이 없는로얄층에 더블역세권,"['25년이내', '역세권', '방세개', '화장실두개']",골드빌공인중개사사무소
2060739946,1174010100,A01,A1,2/35,145000,105,78,남향,37.553479,127.1447,"확장, 세안고, 초역세권, 꼭 확인하세요","['2년이내', '역세권', '대단지', '방세개']",솔베뉴공인중개사사무소
2060749367,1174010600,A01,A1,2/24,115000,111,84,남향,37.534056,127.145366,남향 9호선급행역세권 초중고학세권 조용하고상태굿,"['15년이내', '방세개', '화장실두개', '세대당1대']",둔촌푸르지오공인중개사사무소
2060756200,1174011000,A01,A1,10/15,130000,152,114,남향,37.562144,127.172177,"더블역세권,올수리,입주","['10년이내', '올수리', '대형평수', '방네개이상']",삼성공인중개사사무소
2060503818,1174010800,A01,A1,15/18,90000,117,84,서향,37.532685,127.121836,"주방,욕실 수리된 집, 주인거주, 컨디션 굿, 확장형, 서향","['25년이내', '역세권', '확장형', '욕실수리']",미라클부동산중개 주식회사
2060727185,1174010200,A01,A1,12/29,198000,133,97,남향,37.556472,127.16142,"즉시 계약가능,전세안고","['2년이내', '역세권', '대단지', '대형평수']",동서울부동산공인중개사사무소
2060748970,1174010900,A03,A1,25/45,135000,121,84,,37.537341,127.132464,"초급매 갭투 마지막기회 조,중식서비스 호텔식커뮤니티 강추","['4년이내', '역세권', '급매', '방세개']",강동래미안성실공인중개사사무소
2060750260,1174010900,A03,A1,42/44,125000,85,59,,37.537847,127.131635,초특급 입주가능 한강뷰와 최고의 투자가치있는 APT 보시면 바로계약 강추,"['4년이내', '역세권', '방세개']",강동래미안성실공인중개사사무소
2060730836,1174010800,A01,A1,1/19,78000,83,59,동향,37.52942,127.13293,"둔촌역4분,귀한 계단식,올수리,9호선 환승가능,올림픽공원 인근,","['25년이내', '올수리', '역세권']",청구공인중개사사무소
2060737822,1174010900,A03,A1,25/45,140000,121,84,남서향,37.537341,127.132464,,"['4년이내', '역세권', '방세개']",임미령(팰리스)공인중개사사무소
2060631699,1174010800,A03,A1,7/11,77000,102,82,,37.536666,127.127741,"천호역5분, 확트인 전망, 부분수리, 편리한 생활 인프라","['15년이내', '역세권', '방세개', '화장실두개']",퍼스트공인중개사사무소
2060753194,1174010900,A03,A1,18/45,139000,121,84,남향,37.537341,127.132464,"조망 좋고 내부시설 잘된집, 강동역 연결 입주가능","['4년이내', '역세권', '방세개']",월가공인중개사사무소
2060551281,1174010600,A01,A1,4/9,51000,72,55,,37.533577,127.141941,"신축급 내부깔끔, 지하주차장, 신혼적합구조, 강동역.길동역이용","['4년이내', '역세권', '방세개']",월가공인중개사사무소
2060749232,1174010900,A03,A1,6/44,110000,85,59,,37.537847,127.131635,"초급매 갭투만가능 드레스룸있고 조,중식서비스 보안철저 호텔식커뮤니티 강추","['4년이내', '역세권', '급매', '방두개']",강동래미안성실공인중개사사무소
2060751301,1174010900,A03,A1,20/44,140000,121,84,,37.537847,127.131635,"BEST실매물 입주가능 소액갭투자 선호하는 커뮤니트동 조,중식서비스 강추","['4년이내', '역세권', '방세개', '화장실두개']",강동래미안성실공인중개사사무소
2060751226,1174011000,A01,A1,6/14,95000,110,84,,37.565276,127.178187,"33p,올확장인테리어,상태최상,로얄매물,전세안고","['15년이내', '방세개', '화장실두개', '중층']",랜드윌공인중개사사무소
2060794972,1174010300,C02,A1,5/5,29500,81,69,,37.546547,127.169839,급매.갭투자강추.신축급.위치 매우 좋아요.,"['15년이내', '급매', '탑층', '방세개']",청담공인중개사사무소
2060756534,1174010200,A01,A1,23/25,150000,115,84,,37.560701,127.148005,,"['4년이내', '대단지', '방세개', '화장실두개']",그라시움하늘공인중개사사무소
2060599818,1174010200,A01,A1,23/29,165000,114,84,남향,37.558922,127.162615,34p강추 로얄동층 세안고매매 에어컨풀 뻥뚫린공원뷰 좋은학군 상일동역2분,"['2년이내', '역세권', '대단지']",천사부동산공인중개사사무소
2060617637,1174010300,A01,A1,12/29,135000,82,59,남향,37.552701,127.165572,25pO대단지역세권O학세권O에어컨2대O중문O전세안고,"['2년이내', '역세권', '대단지', '방세개']",고덕위드공인중개사사무소
2060574985,1174010900,A03,A1,29/44,150000,121,84,남서향,37.537847,127.131635,"세안고, 한강전망좋은집  .통풍 환기 채광 뛰어난 거실2면 슬라이딩창.","['4년이내', '역세권', '방세개', '화장실두개']",임미령(팰리스)공인중개사사무소
2060769184,1174010300,A01,A1,13/15,132000,81,59,남동향,37.554493,127.168617,전속매물 세안고 시스템에어컨 로얄동 로얄층,"['2년이내', '역세권', '대단지', '방세개']",미사금호공인중개사사무소
2060558985,1174010300,A01,A1,14/28,155000,115,84,남서향,37.551479,127.16717,34p 세안고 투자가치호재 근린공원숲세권 한영중고학군,"['2년이내', '대단지', '방세개', '화장실두개']",고덕스카이공인중개사사무소
2060772726,1174010500,C02,A1,4/5,21000,24,21,,37.537796,127.143,"길동역3분,길동복조리시장인근,8년차다세대,대출X위반건축물","['10년이내', '역세권', '소형평수', '방두개']",현대공인중개사사무소
2060552441,1174011000,A01,A1,5/14,95000,110,84,남향,37.565276,127.178187,33P 공원뷰 판상형 상태A급 입주협의,"['15년이내', '방세개', '화장실두개', '중층']",파크공인중개사사무소
2060750625,1174010700,C02,A1,5/5,19000,45,41,,37.551353,127.130973,급매 입주가능,"['25년이내', '역세권', '급매']",로얄공인중개사사무소
2060641232,1174010900,A02,A1,4/5,14000,39,23,남향,37.537193,127.133246,급매 강동역 도보1분거리 초역세권 조용한 오피스텔 급매,"['10년이내', '역세권', '급매']",강동스카이공인중개사사무소
2060573732,1174010200,A01,A1,9/18,135000,82,59,남서향,37.55728,127.166096,세안고매매 전속 초초역세권 가림없이 탁트인전망 로얄동로얄층 최고급커뮤니티,"['2년이내', '역세권', '대단지']",상일천사공인중개사사무소
2060767829,1174010900,A03,A1,6/25,62000,88,59,북동향,37.535961,127.133486,특급 인테리어 올수리 신혼부부 강력추천,"['25년이내', '올수리', '역세권', '필로티']",단지내탑공인중개사사무소
2060774046,1174011000,A01,A1,12/14,83000,59,39,남향,37.568144,127.174658,"입주, 중심상가 지역 채광좋은 판상형.","['15년이내', '소형평수', '방두개', '화장실한개']",한강공인중개사사무소
