atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060360274,1150010300,C02,A1,3/4,29500,64,59,서향,37.547462,126.848055,전체 특올수리됨 최고급 인테리어,"['25년이내', '올수리', '방세개']",랜드비젼부동산공인중개사사무소
2060124017,1150010300,C02,A1,2/4,21000,65,59,남향,37.53555,126.851603,까치산역 이용가능.신정초등학교 인접한 관리잘된 빌라매물.방3개.화장실1개,"['15년이내', '화장실한개', '방세개']",더이룸공인중개사사무소
2059863192,1150010300,C02,A1,3/6,19700,34,27,남향,37.533007,126.849948,까치산역세권 2014년식 신축급투룸.즉시입주가능.신혼부부 선호하는 위치,"['10년이내', '역세권', '화장실한개']",더이룸공인중개사사무소
2059656761,1150010100,A01,A1,12/15,78000,80,59,남동향,37.552576,126.87305,거실작은방1확장 올수리 귀한입주 염동초염창중 정상,"['25년이내', '올수리', '방세개']",미래공인중개사
2059866873,1150010300,C02,A1,3/5,16800,35,29,남동향,37.535398,126.83579,월정초등학교 인근 관리잘되고 인기많은 투룸.즉시입주가능.신혼부부강추,"['10년이내', '화장실한개', '소형평수']",더이룸공인중개사사무소
2059870982,1150010300,C02,A1,-1/4,13700,58,48,서향,37.530839,126.855492,화곡2동 평지에 위치한 내부 올수리 쓰리룸빌라.안방.중간방13자.즉시입주,"['25년이상', '올수리', '소형평수']",더이룸공인중개사사무소
2059832918,1150010300,C02,A1,4/4,21000,56,51,북동향,37.529514,126.851853,"까치산역 초역세권 전용,대지 넓은 가성비갑 3룸","['25년이상', '역세권', '소형평수']",행복한부동산공인중개사사무소
2059705976,1150010200,C02,A1,5/6,32000,43,34,동향,37.559095,126.841837,신축투룸 발산역 초역세권 단지형 편의시설다수 특급매물,"['역세권', '급매', '소형평수']",서강공인중개사사무소
2059625458,1150010300,C02,A1,1/4,15000,50,44,서향,37.538874,126.848865,내부올수리 된 쓰리룸빌라.현재 공실로 입주협의가능.화곡역 이용가능,"['10년이내', '올수리', '1층']",더이룸공인중개사사무소
2059704997,1150010200,C02,A1,5/6,37000,46,37,동향,37.559095,126.841837,신축 발산역 초역세권 단지형 편의시설다수 특급매물,"['역세권', '급매', '소형평수']",서강공인중개사사무소
