atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060372055,1162010100,C03,A1,3/-1,165000,130,298,,37.479452,126.939339,봉천역세권 실투자5억2천 월임대료 391만원 가능합니다,['역세권'],조이부동산공인중개사사무소
2060374346,1162010200,C03,A1,3/-1,205000,159,299,,37.485114,126.919391,실투자 3억6천 월임대료 320만원 가능합니다,[],조이부동산공인중개사사무소
2060385452,1162010100,D05,A1,6/0,270000,166,415,서향,37.48541,126.938499,신축3년차 공실걱정없는 상가주택,"['4년이내', '역세권', '화장실네개이상']",개미공인중개사사무소
2060388419,1162010200,C03,A1,3/-1,156000,119,199,서향,37.486567,126.918947,실구입 7억8천대 월406만 주인층있음,"['4년이내', '화장실네개이상', '방네개이상']",나라부동산공인중개사사무소
2060391049,1162010100,C02,A1,6/8,35300,41,29,북서향,37.487214,126.957991,2호선 서울대입구역 도보10분 신축빌라 분양광고,"['2년이내', '소형평수', '방두개']",더조은부동산공인중개사사무소
2060118412,1162010200,C03,A1,3/-1,185000,138,299,,37.484719,126.921327,실투자1억4천3백 월임대료 272만원 가능합니다,[],조이부동산공인중개사사무소
2060118255,1162010200,C03,A1,3/-1,155000,110,199,,37.480885,126.923928,신림역원룸 실투자1억3천 가능합니다,[],조이부동산공인중개사사무소
2060068144,1162010200,C03,A1,5/-1,255000,324,980,남향,37.472584,126.941117,구입 14억2천 월1640만 서울대학교 부근 주인층있음,"['25년이내', '방네개이상', '화장실네개이상']",나라부동산공인중개사사무소
2059919142,1162010300,A01,A1,3/6,63000,93,76,동향,37.472648,126.97939,2호선4호선 사당역 아파트 매매 5억9000만원융자4700만원말소조건,"['25년이내', '역세권', '방세개']",일등공인중개사사무소
2060118721,1162010100,C03,A1,4/-1,215000,165,318,남향,37.485424,126.938089,봉천역 역세권 융자승계 가능한 수익형 통매,"['4년이내', '역세권', '화장실네개이상']",조이부동산공인중개사사무소
2060152801,1162010100,C02,A1,5/8,34800,41,29,북서향,37.487214,126.957991,2호선 서울대입구역 도보10분 신축빌라 분양광고,"['2년이내', '소형평수', '방두개']",더조은부동산공인중개사사무소
2059891469,1162010300,C02,A1,3/4,33500,34,28,남서향,37.474931,126.972394,"사당역,2룸1화, 2호선4호선 더블역세권.","['2년이내', '화장실한개', '소형평수']",일등공인중개사사무소
2059906525,1162010100,C03,A1,4/-1,350000,223,550,,37.479673,126.940837,봉천초역세권 실투자2억 월임대료 656만원 가능합니다,['역세권'],조이부동산공인중개사사무소
2059905381,1162010200,C03,A1,4/-1,250000,166,422,,37.482662,126.909643,엘리베이트 있는 주인세대 보증금 조정됩니다,[],조이부동산공인중개사사무소
2059865751,1162010200,C03,A1,4/-1,155000,93,211,북향,37.481494,126.93207,실구입 3억8천 월436만원 수익형 주인층있음,"['2년이내', '역세권', '화장실네개이상']",나라부동산공인중개사사무소
2059017448,1162010100,C03,A1,4/-1,230000,163,413,북향,37.48274,126.938293,실구입 7억9천 월700만원 봉천동 역세권,"['10년이내', '역세권', '화장실네개이상']",나라부동산공인중개사사무소
