atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060375761,1121510100,C02,A1,5/6,38800,53,44,북향,37.563587,127.08554,중곡역 역세권 내부구조 좋은 빌라,"['10년이내', '역세권', '화장실두개']",마이하우징공인중개사사무소
2059659997,1121510700,A02,A1,3/14,24000,53,33,남향,37.547116,127.071896,광진코지웰 오피스텔도시형 1동 ,"['10년이내', '역세권', '화장실한개']",우림공인중개사사무소
2060085392,1121510100,C02,A1,3/6,30000,35,27,남서향,37.56002,127.084767,"신축빌라전문 군자역 도보2분 5,7호선 더블역세권 전세도가능 신혼부부추천","['2년이내', '소형평수', '방두개']",서강공인중개사사무소
2059937122,1121510900,C02,A1,3/5,34000,53,45,남동향,37.555851,127.073068,방크기 좋고 거실공간도 있는 깔끔한 쓰리룸빌라,"['10년이내', '화장실한개', '소형평수']",하나공인중개사사무소
2059894083,1121510500,C02,A1,2/5,55500,63,50,남향,37.536708,127.077613,자양초 인근 거실 넓고 내부구조 좋은 신축빌라,"['2년이내', '화장실두개', '방세개']",마이하우징공인중개사사무소
2059546311,1121510300,C03,A1,5/0,320000,174,347,,37.541535,127.088412,구의역5분거리. 신축 다세대주택 통매매. 주인층 입주가능,"['2년이내', '주차가능', '엘리베이터']",탑공인중개사사무소
2059184699,1121510500,D05,A1,3/-1,315000,228,495,남향,37.537464,127.080596,69P  6차선대로변상가주택   전면넓음  역세권   구의자양균촉인근,"['25년이상', '역세권', '방네개이상']",엘리트공인중개사사무소
2059692158,1121510500,C02,A1,1/5,200000,246,243,서향,37.535753,127.079374,신축  다세대통매매  주인거주  엘베있음  매가착함,"['2년이내', '1층', '화장실네개이상']",엘리트공인중개사사무소
2059088941,1121510500,C02,A1,6/7,36500,38,29,남향,37.539392,127.082011,구의역인근 신축2룸 실전용15p 인테리어심플 거실주방분리형,"['2년이내', '역세권', '화장실한개']",서진공인중개사사무소
2059184951,1121510500,D03,A1,5/-1,350000,260,590,,37.537769,127.079629,,[],엘리트공인중개사사무소
2059022508,1121510500,C02,A1,5/6,33000,25,21,,37.536913,127.075992,"2호선, 7호선 건대입구역, 강남권 근접 용이한 가성비 좋은 신축빌라","['테라스', '화장실한개', '소형평수']",남양주토지연구소 공인중개사사무소
2059023506,1121510500,C02,A1,6/6,51500,50,42,,37.536913,127.075992,"2호선, 7호선 건대입구역, 강남권 근접 용이한 가성비 좋은 신축빌라","['화장실두개', '소형평수', '탑층']",남양주토지연구소 공인중개사사무소
2060788097,1121510400,A01,A1,11/24,102000,89,59,북서향,37.54244,127.100808,"리모델링호재, 전세낀 매물","['25년이내', '역세권', '방두개', '화장실한개']",-
2060553515,1121510300,A02,A1,6/17,22500,38,21,북향,37.538135,127.088815,구의역2분 대로변에 위치한 신축급 복층형 오피스텔 매매 ,"['2년이내', '역세권', '복층']",베스트부동산
2060503674,1121510400,A02,A1,2/3,30000,78,47,,37.551335,127.109576,"한강변, 현 2천에 100만 월세, 보수적으로 4.3프로 수익","['10년이내', '화장실한개', '방한개', '중층']",워커힐리더스부동산
2060730121,1121510400,A01,A1,11/11,105000,90,65,남향,37.54952,127.10908,한강조망 입주가능한 귀한 매물,"['10년이내', '탑층', '방세개', '화장실두개']",리안공인중개사
2060515761,1121510100,C03,A1,5/0,300000,195,389,,37.569063,127.08455,2019년식 다세대 통매입니다 주인세대 복층 입주가능,"['2년이내', '테라스', '역세권']",드림공인중개사사무소
2060774250,1121510400,A01,A1,10/10,125000,144,133,남향,37.551738,127.110431,"멋진 한강.아차산 환상적 뷰, 특급 인테리어,주변 재건축 호재, 남향.","['25년이상', '복층', '대형평수']",워커힐광장공인중개사사무소
2060259457,1121510400,A03,A1,4/6,34900,39,35,북동향,37.551317,127.10961,한강변 광진 도서관인근의 가성비 좋은 아파트,"['10년이내', '소형평수', '방한개', '화장실한개']",리안 공인중개사 사무소
2060730135,1121510400,A01,A1,4/7,48000,110,89,남향,37.547893,127.108315,가성비 좋은 아파트 입주 협의,"['25년이내', '필로티', '방세개', '화장실두개']",리안공인중개사
2060563785,1121510500,A01,A1,1/24,105000,103,84,남향,37.532927,127.065306,남향 초역세권  입주가능,"['25년이상', '역세권', '1층', '방세개']",한강우성공인중개사사무소
2060763653,1121510300,C02,A1,3/3,25000,42,36,남동향,37.548457,127.086617,급매  최고의 입지를 뽑내는 빌라    입주 협의   전용 면적 36.5,"['25년이내', '역세권', '급매', '소형평수']",한마음공인중개사사무소
2060723652,1121510100,C02,A1,4/6,35000,72,52,남향,37.569531,127.081626,가격저렴 입주가능 방 거실 넓고 깨끗함,"['10년이내', '역세권', '방세개', '화장실두개']",명문공인중개사
2060595251,1121510500,A01,A1,21/23,110000,101,84,남향,37.528581,127.083315,"올수리,전세중,한강조망,한강공원인접","['25년이내', '올수리', '방세개']",LBA제일공인
2060572069,1121510500,A01,A1,16/18,120000,113,84,남동향,37.533204,127.066128,특 올수리 입주협의 한강조망,"['25년이내', '올수리', '역세권', '방세개']",한강우성공인중개사사무소
2060289276,1121510300,C03,A1,1/-1,82000,116,77,,37.552263,127.095438,6m 도로변 단층주택  마당 유  주차가능  전세승계조건,"['마당', '방세개', '화장실한개']",한길공인
2060587421,1121510500,A01,A1,2/12,90000,93,82,남향,37.528296,127.086102,"입주가능,한강조망,한강공원인접","['25년이상', '방세개', '화장실한개', '주차가능']",LBA제일공인
2060260135,1121510400,C02,A1,4/7,48000,110,89,남동향,37.547963,127.108361,가성비 좋은 광진 체육공원 인근 아파트형 연립,"['방세개', '화장실두개', '남동향']",리안 공인중개사 사무소
2060594944,1121510500,A01,A1,17/25,125000,106,83,남동향,37.528087,127.084679,"올수리,로얄층,입주가능,한강조망특급","['25년이내', '올수리', '방세개', '화장실두개']",LBA제일공인
2060564265,1121510500,A01,A1,8/24,120000,103,84,남동향,37.532366,127.066161,초역세권 상태굿 입주가능,"['25년이상', '역세권', '방세개', '화장실두개']",한강우성공인중개사사무소
2060502829,1121510400,A03,A1,3/15,155000,201,165,,37.550476,127.109212,"탁트인조망, 수납공간 많고 고급스런 인테리어","['10년이내', '대형평수', '방네개이상']",워커힐리더스부동산
2060509966,1121510400,A01,A1,1/12,185000,188,166,남동향,37.55048,127.10805,"올수리,전원주택 분위기,토지지분 최대,투자가치 최고의 아파트입니다.","['25년이상', '올수리', '1층', '대형평수']",푸르지오부동산중개인사무소
2058846788,1121510500,C02,A1,3/5,36700,36,29,남동향,37.53604,127.077354,자양초 인근 방사이즈 좋은 투룸 신축빌라,"['2년이내', '화장실한개', '소형평수']",마이하우징공인중개사사무소
2058840712,1121510300,C02,A1,2/5,29000,36,28,동향,37.542294,127.090855,양진학군 구의역 역세권 가격 좋은 신축투룸,"['2년이내', '화장실한개', '소형평수']",마이하우징공인중개사사무소
2060761828,1121510300,A03,A1,29/29,230000,136,101,남향,37.53837,127.089601,"펜트하우스의 자부심,4방향 야외테라스, 360도 스카이 한강뷰, 딱1채.","['4년이내', '테라스', '역세권']",워커힐광장공인중개사사무소
2060596032,1121510500,A01,A1,16/23,135000,98,84,남향,37.527823,127.083166,"올수리,초로얄층,입주가능,한강조망특급,한강공원인접","['25년이내', '올수리', '방세개']",LBA제일공인
2060725277,1121510100,C03,A1,2/-1,66000,108,171,남향,37.569531,127.085417,투자용 중곡역 역세권,"['역세권', '방네개이상', '화장실네개이상', '남향']",명문공인중개사
2060563554,1121510500,A01,A1,14/24,130000,103,84,남향,37.532366,127.066161,상태굿 초역세권 한강조망,"['25년이상', '역세권', '방세개', '화장실두개']",한강우성공인중개사사무소
2060613129,1121510100,C02,A1,2/4,20000,35,29,,37.569451,127.086622,중곡역세권 저렴함매물 교통편리 깨끗 세끼고 투자굿 갭8천,"['10년이내', '역세권', '소형평수', '방두개']",부경공인중개사사무소
2060612837,1121510500,C02,A1,3/5,55000,34,29,,37.535467,127.060732,성수동건너편 자양4동 한강변미래재개발지역투자물건 한강공원인접,"['소형평수', '방두개', '화장실한개', '주차가능']",부경공인중개사사무소
2060308265,1121510400,A03,A1,5/6,34900,39,35,,37.551317,127.10961,한강뷰.나무가 거실에서 보이는 신혼강추 저렴한아파트.,"['10년이내', '소형평수', '방한개', '화장실한개']",육사공인중개사사무소
