atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2059887675,1153010900,C02,A1,3/6,32500,63,50,,37.49603,126.836365,궁동 8개동 대단지 큰 3룸,"['방세개', '화장실두개', '주차가능']",주식회사유니온부동산중개
2059922401,1153010700,C02,A1,5/7,25900,36,26,동향,37.494567,126.849622,1호선 오류동역 도보5분 신축빌라 분양광고,"['2년이내', '역세권', '화장실한개']",더조은부동산공인중개사사무소
2059606398,1153010200,D01,A1,11/14,54562,212,119,,37.487513,126.893979,급매 신규인테리어 귀한실입주 실36p 룸1 넓은홀 평수대비 저렴한 사무실,"['15년이내', '급매', '주차가능']",삼성공인중개사사무소
2059081717,1153010200,A01,A1,15/20,65000,99,81,남향,37.486608,126.897504,로얄층 전망굿 신안산선 역세권 2호선최저가,"['25년이내', '역세권', '방세개']",디지털부동산공인중개사사무소
2060716044,1153010700,C02,A1,6/6,30400,52,46,,37.485097,126.8536,5000만으로 방4거실2테라스2 복층 주인이 되세요,"['10년이내', '테라스', '화장실두개']",-
2060748152,1153010200,A03,A1,19/23,52500,89,65,남동향,37.496067,126.891586,"추천아파트.관악산등 조망권 최고,잘나온 3베이 구조,대림역 5분,","['25년이내', '역세권', '방세개', '화장실두개']",행운공인중개사사무소
2060807427,1153010700,A01,A1,5/23,55000,88,59,남향,37.484449,126.851561,"남향, 깨끗하고 7호선 이용.광명4거리역 도보8분","['25년이내', '대단지', '방세개', '화장실한개']",개웅공인중개사사무소
2060794232,1153010800,A01,A1,10/23,72000,112,84,남동향,37.49094,126.84001,더블 역세권 상태 양호한 입주매물 입니다,"['25년이내', '역세권', '방세개', '화장실두개']",경남공인
2060779429,1153011000,A01,A1,1/12,75000,112,84,남향,37.495876,126.820616,깔끔한 기본구조.조용한동,"['15년이내', '역세권', '1층', '방세개']",현대공인중개사사무소
2060804159,1153010700,A01,A1,1/22,65000,148,114,,37.485064,126.851744,특올수리함 아이들뛰어놀기좋은1층.주택같은아파트.남향 채광좋음.조정가능함.,"['25년이내', '올수리', '대단지', '1층']",믿음공인중개사사무소
2060794721,1153010700,A01,A1,13/25,74000,85,59,남향,37.501487,126.846901,전망굳 남향 확장형 로얄층 깔금함 조정가,"['10년이내', '확장형', '방세개']",청일공인
2060823492,1153010200,A01,A1,11/17,74000,77,57,남향,37.48672,126.890254,"입주가능한 귀한매물, 정남향 거.방 확장, 욕실수리되어 깨긋한 계단식","['15년이내', '역세권', '욕실수리', '방두개']",한신공인중개사사무소
