atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060147645,1154510100,D01,A1,4/24,32026,123,65,북동향,37.47703,126.882341,가산역세권 전면부 코너호실 ,"['10년이내', '역세권', '주차가능']",라이온스공인중개사사무소
2060144419,1154510100,E04,A1,18/20,39682,102,69,,37.476108,126.880122,"가디역 역세권 실27p확장 룸2,복층,깔끔한 실입주사무실 매매","['주차가능', '엘리베이터']",엘리트부동산공인중개사사무소
2060332298,1154510100,D01,A1,4/15,111448,460,282,,37.484572,126.880405,"역세권,인테리어상급,85.5p","['역세권', '주차가능', '엘리베이터']",라이온스공인중개사사무소
2060390248,1154510200,C02,A1,2/7,37000,81,71,남동향,37.465003,126.895092,1호선 독산역 도보10분 신축빌라 분양광고,"['2년이내', '방세개', '화장실두개']",더조은부동산공인중개사사무소
2060144557,1154510100,D01,A1,18/20,39682,136,69,,37.476108,126.880122,"가디역 역세권 실27p확장 룸2,복층,깔끔한 실입주사무실 매매","['주차가능', '엘리베이터', '천장에어컨']",엘리트부동산공인중개사사무소
2059611524,1154510100,E04,A1,6/14,55300,188,142,,37.476809,126.880616,"가산역 역세권 실 43p 룸3 , 주차3대,인텔최상,실입주 사무실 매매","['역세권', '주차가능', '엘리베이터']",엘리트부동산공인중개사사무소
2059861115,1154510100,D01,A1,6/14,55299,225,142,북향,37.476809,126.880616,"실 43p, 인테리어 상급의 가산역 역세권 사무실 매매, 룸3개","['25년이내', '역세권', '주차가능']",비전공인중개사사무소
2059611451,1154510100,D01,A1,6/14,55300,225,142,,37.476809,126.880616,"가산역 역세권 실 43p 룸3 , 주차3대,인텔최상,실입주 사무실 매매","['역세권', '주차가능', '엘리베이터']",엘리트부동산공인중개사사무소
2059897044,1154510100,E04,A1,-2/20,34214,179,121,,37.471226,126.886405,시행사보유 잔여분 특별분양 취득세50프로 감면 즉시입주,"['2년이내', '주차가능', '엘리베이터']",(주)아파트형공장114중개법인공인
2059077716,1154510100,D01,A1,4/11,95790,510,322,,37.475673,126.882947,"가산역 역세권 실 98p 룸3 주차4대,화물엘레베이터,사무실 매매","['주차가능', '엘리베이터', '천장에어컨']",엘리트부동산공인중개사사무소
2059679991,1154510200,C02,A1,4/5,23300,32,27,남동향,37.467026,126.902615,신독산역 도보 10분 신축빌라 분양광고,"['2년이내', '화장실한개', '소형평수']",더조은부동산공인중개사사무소
2059629926,1154510100,D01,A1,3/15,42220,193,106,동향,37.482493,126.87747,32p  저렴한 사무실,"['10년이내', '역세권', '관리비10만원이하']",부동산코리아공인중개사사무소
2059558458,1154510100,D01,A1,19/20,66000,176,88,,37.480751,126.880698,"전용26.71, 원분양상태, 평당1238만","['10년이내', '역세권', '엘리베이터']",참공인중개사사무소
2059077864,1154510100,E04,A1,4/11,95790,431,322,,37.475673,126.882947,"가산역 역세권 실 98p 룸3 주차4대,화물엘레베이터,사무실 매매","['주차가능', '엘리베이터']",엘리트부동산공인중개사사무소
2059591129,1154510100,D01,A1,13/14,108600,491,246,,37.485869,126.878399,실75p.저렴한 사무실.실입주매매 ,"['10년이내', '주차가능', '엘리베이터']",비즈부동산중개
2059037423,1154510100,D01,A1,3/20,48000,191,111,,37.477696,126.882053,실 34p 역세권 코너 실입주,"['역세권', '주차가능', '엘리베이터']",디지털원부동산중개
2060794492,1154510100,C02,A1,4/5,29900,83,56,북동향,37.476478,126.893353,"가산동 지하철 1, 2, 7호선 역세권 3룸 빌라","['10년이내', '화장실두개', '방세개']",-
2059070936,1154510100,D01,A1,9/15,47700,210,126,,37.478772,126.878713,실40p.가산역 도보4분.저렴한 역세권 사무실 매매.실입주가능,"['25년이내', '역세권', '주차가능']",비즈부동산중개
2059036963,1154510100,D01,A1,7/15,45000,255,140,,37.473206,126.884347,"실43p, 실입주, 평당500만원대, 코너, 채광좋고깔끔","['주차가능', '천장에어컨']",디지털원부동산중개
2059071980,1154510100,E04,A1,9/15,47700,167,126,,37.478772,126.878713,실40p.가산역 도보5분.저렴한 역세권 사무실 매매.실입주가능,"['25년이내', '역세권', '주차가능']",비즈부동산중개
2059036794,1154510100,D01,A1,14/15,58000,226,136,,37.477734,126.885353,"실41p, 룸3, 신규인테리어 ","['역세권', '주차가능', '엘리베이터']",디지털원부동산중개
2059033625,1154510100,D01,A1,7/15,43820,241,132,,37.473206,126.884347,"실 40p, 평당600만원사무실","['주차가능', '엘리베이터', '천장에어컨']",디지털원부동산중개
2059032064,1154510100,D01,A1,23/30,38300,166,86,,37.479755,126.877041,"실24p, 룸2개, 깔끔하고 저렴 ","['역세권', '주차가능', '천장에어컨']",디지털원부동산중개
2059033130,1154510100,D01,A1,10/20,24000,129,68,,37.473866,126.885233,실 22p  평당 600만원대 사무실,"['주차가능', '엘리베이터', '천장에어컨']",디지털원부동산중개
2058817708,1154510100,E04,A1,9/20,361016,1055,701,,37.47816,126.881713,"가산역 역세권 실240p확장, 코너, 룸7,인텔상 실입주, 대형사무실매매","['역세권', '주차가능', '엘리베이터']",엘리트부동산공인중개사사무소
2058817639,1154510100,D01,A1,9/20,361016,1379,701,,37.47816,126.881713,"가산역 역세권 실240p확장, 코너, 룸7,인텔상 실입주, 대형사무실매매","['역세권', '주차가능', '엘리베이터']",엘리트부동산공인중개사사무소
2058995249,1154510100,D01,A1,3/18,189000,961,498,,37.473397,126.885446,실사용 150p 대형사무실,"['10년이내', '주차가능', '엘리베이터']",삼성공인중개사사무소
2060509557,1154510300,A01,A1,2/17,52000,108,84,남향,37.462806,126.909587,남향 방3욕실2  전세끼고 매도,"['25년이내', '방세개', '화장실두개', '세대당1대']",희망공인중개사
2060772022,1154510300,A01,A1,8/16,135000,189,150,남향,37.446016,126.899433,로얄동 정남향 주인거주 넓고 깨끗한집,"['10년이내', '대단지', '대형평수', '방네개이상']",은성공인중개사사무소
2060775331,1154510100,A01,A1,25/25,72000,127,101,남동향,37.47496,126.89201, 쾌적하고  채광좋은 입주가능 급매울 ,"['25년이내', '대단지', '급매', '탑층']",원탑부동산공인중개사사무소
2060775056,1154510100,A01,A1,18/19,63000,81,59,남서향,37.47588,126.89149,앞이 틔여있어 전망이 좋고 일조량 풍부,"['25년이내', '대단지', '방세개', '화장실한개']",원탑부동산공인중개사사무소
2060775892,1154510100,A01,A1,9/25,75000,107,84,남동향,37.47529,126.8926,일조량풍부 선호하는동 관리잘되어 깔끔함,"['25년이내', '대단지', '방세개', '화장실두개']",원탑부동산공인중개사사무소
2060813519,1154510300,A01,A1,10/20,60000,99,84,,37.448242,126.918094,전세안고 매매,"['25년이내', '대단지', '방세개', '화장실두개']",우방공인중개사사무소
2060775606,1154510100,A01,A1,21/22,70000,107,84,남향,37.47616,126.89126, 월세 임대 끼고 투자하실 물건입니다.,"['25년이내', '대단지', '방세개', '화장실두개']",원탑부동산공인중개사사무소
2060812854,1154510300,A01,A1,23/25,49000,84,59,동향,37.449534,126.912492,"화장실,싱크대,중문,거실확장, 전세안고","['25년이내', '방세개', '화장실한개', '고층']",우방공인중개사사무소
2060814087,1154510300,A01,A1,10/18,71000,129,114,남향,37.446419,126.917736,남향 숲전망최고 물건 수리됨,"['25년이내', '대단지', '방네개이상', '화장실두개']",파파공인
2060838387,1154510300,A01,A1,11/15,70000,104,84,남향,37.447743,126.910823,전세 낀 매매임.  산 조망아주 좋은 별장같은 아파트임.,"['15년이내', '방세개', '화장실두개', '고층']",명성공인중개사
2060803006,1154510200,A03,A1,20/46,95000,84,59,남동향,37.459648,126.897825,로얄동 로얄층,"['2년이내', '대단지', '방세개', '화장실두개']",광성공인중개사사무소
2060834466,1154510300,A01,A1,2/18,88000,115,84,남동향,37.444784,126.900073,남향 C타입  전망좋고 깨끗한집,"['10년이내', '대단지', '방세개', '화장실두개']",하늘부동산중개합동사무소
2060784985,1154510300,A01,A1,11/20,73000,129,114,남동향,37.448998,126.91988,주인거주    온수배관 수리됨,"['25년이내', '대단지', '방네개이상', '화장실두개']",태영공인중개사사무소
2060638581,1154510300,A01,A1,19/25,90000,115,84,서향,37.445976,126.90148,"로얄동,로얄층,확장형,전망좋음","['10년이내', '확장형', '대단지', '방세개']",힐레이버공인중개사사무소
2060741364,1154510300,A01,A1,17/20,63000,106,84,동향,37.449481,126.913646,전세3억8천 안고매매 가능합니다.,"['25년이내', '방세개', '화장실두개', '고층']",정공인중개사사무소
2060638834,1154510300,A01,A1,19/28,110000,152,113,남향,37.447858,126.900597,"남향,로얄동,로얄층,확장형","['10년이내', '확장형', '대단지', '대형평수']",힐레이버공인중개사사무소
2060764709,1154510300,A01,A1,20/20,60000,99,84,남서향,37.449467,126.920992,탑층. 전망굿. 초입동.앞뒤시야. 탁트인. 깔끔한 집,"['25년이내', '대단지', '탑층', '방세개']",번영공인중개사
2060734599,1154510100,A01,A1,7/25,72000,127,101,남동향,37.47496,126.89201,초 급매물입니다 ooo  하시 입주가능,"['25년이내', '대단지', '급매', '방세개']",두산위브공인
2060610388,1154510300,C02,A1,2/5,25000,82,59,남서향,37.448903,126.907903,주차 세대당 1대씩 가능 평지에 위치한 빌라 실거주용으로 좋습니다,"['15년이내', '방세개', '화장실두개', '주차가능']",믿음공인중개사
2060341873,1154510300,A01,A1,5/17,45000,99,82,남향,37.453958,126.910574,올수리되었으며 전망좋은 남향으로 전세낀매매입니다,"['25년이내', '올수리', '방세개', '화장실두개']",큰나무공인
2060770325,1154510300,A01,A1,10/19,64000,142,114,남향,37.450175,126.917546,일조량 좋은 정남향. 앞이 트여 개방감 좋아요.,"['25년이내', '대단지', '대형평수', '방네개이상']",길공인중개사무소
2060743940,1154510100,A01,A1,9/22,69000,107,84,남서향,37.47629,126.89217,로얄층으로 시세보다 저렴한 집,"['25년이내', '대단지', '방세개', '화장실두개']",두산공인중개사 사무소
2060744683,1154510100,A01,A1,14/25,69000,107,84,남서향,37.47463,126.89176,세안고 투자할 집 ㅣ 동호수 좋은 집,"['25년이내', '대단지', '방세개', '화장실두개']",두산공인중개사 사무소
2060349113,1154510300,A01,A1,7/20,42000,86,59,남향,37.452834,126.918717,주인거주로 입주가능하며 깨끗합니다,"['25년이내', '대단지', '방두개']",큰나무공인
2060747870,1154510100,A01,A1,20/21,81000,162,134,남동향,37.47388,126.89301, 즉시 입주 가능 ooo  뷰 최고입니다 로얄동 로얄층,"['25년이내', '대단지', '대형평수', '방네개이상']",두산위브공인
2060743144,1154510100,A01,A1,11/25,70000,107,84,남서향,37.47434,126.89334,동호수 최고 ㅣ 일조량 풍부,"['25년이내', '대단지', '방세개', '화장실두개']",두산공인중개사 사무소
2060702946,1154510300,A01,A1,13/29,110000,153,115,남서향,37.446165,126.898968,"46C 구조의 전망이 좋은 기본형, 주인거주로 깔끔함","['10년이내', '대단지', '대형평수', '방네개이상']",둥지공인중개사사무소
2060752100,1154510200,D05,A1,2/-1,170000,225,283,동향,37.462456,126.904012,독산로 대로변 상가 건물 상가주택,"['25년이상', '동향']",미건공인중개사사무소
2060776240,1154510300,A02,A1,7/7,14500,43,36,동향,37.448537,126.904143,전용넓은 복층 구조 입주가능 가격절충가능,"['25년이내', '복층', '소형평수', '탑층']",건우공인중개사사무소
2060802169,1154510300,C02,A1,1/4,23500,79,70,동향,37.461545,126.910135,전용큰빌라 올수리 이사일조정,"['25년이내', '올수리', '1층', '방세개']",광성공인중개사사무소
2060801540,1154510200,C02,A1,5/6,18500,35,29,남향,37.471404,126.894832,교통 좋고 생활이 편리한 빌라 3룸 매매,"['10년이내', '소형평수', '방세개', '화장실한개']",대덕공인중개사사무소
2060614469,1154510300,A01,A1,8/15,55000,107,84,남향,37.454543,126.906542,전세안고 매매 20미터 도로 인근 남향,"['25년이내', '방세개', '화장실두개', '중층']",건우공인중개사사무소
2060776851,1154510300,A01,A1,3/3,35000,40,25,남향,37.440102,126.901995,전세안고매매 올리모델링,"['25년이상', '소형평수', '탑층', '방한개']",건우공인중개사사무소
2060528691,1154510300,A01,A1,2/20,40000,86,59,남서향,37.452834,126.918717,주인거주로 깔끔한 집. 일조량 좋아요.,"['25년이내', '대단지', '방두개', '화장실한개']",길공인중개사무소
2060532603,1154510300,A01,A1,1/3,35500,66,49,남향,37.444337,126.906951,강추 올수리 모델하우스급 대지지분 넓고 입주가능,"['25년이상', '올수리', '1층', '방두개']",원 공인중개사사무소
2058792786,1154510100,D01,A1,2/20,53143,243,137,,37.485413,126.879976,전용42p 룸4개 귀한 저층 지원시설 사무실 매매,"['15년이내', '주차가능', '엘리베이터']",하이엔드5차공인중개사사무소
