atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060359358,1135010500,C02,A1,2/5,37900,69,59,남동향,37.660255,127.069448,상계역 역세권 내부 넓고 구조좋은  신축빌라,"['2년이내', '역세권', '화장실두개']",마이하우징공인중개사사무소
2060796837,1135010500,A01,A1,3/12,38000,46,32,남향,37.648137,127.061201,입주가능 올수리 ,"['25년이상', '올수리', '역세권', '대단지']",1단지공인중개사사무소
2060781818,1135010500,A01,A1,1/15,47000,60,41,남향,37.662604,127.057335,"입주가능매물. 샤시,욕실,씽크등 수리잘된 집입니다.","['25년이상', '역세권', '대단지']",연세공인중개사사무소
2060802044,1135010500,A01,A1,3/15,54000,63,45,남향,37.662059,127.054554,지분좋고 조용한단지.올수리되어 깨끗하고 살기 좋은 집입니다.,"['25년이상', '올수리', '역세권', '대단지']",주공하나로공인중개사사무소
2060796079,1135010500,A01,A1,12/15,60000,102,84,남향,37.666289,127.067467,"로얄층,정남향,올수리된 입주 가능한 집입니다.","['25년이상', '올수리', '방세개', '화장실두개']",하나공인중개사사무소
2060796973,1135010500,A01,A1,9/15,64000,102,84,남향,37.665793,127.067439,정남향.최고 인기동.부분수리된집.정상입주 급매물,"['25년이상', '급매', '방세개', '화장실두개']",하나공인중개사사무소
2060803247,1135010500,A01,A1,4/15,39000,62,44,남향,37.663981,127.063926,올수리 긴정상 또는 전세안고 위임,"['25년이상', '올수리', '대단지', '소형평수']",88공인중개사사무소
2060816910,1135010300,A01,A1,4/15,76000,105,84,남향,37.626928,127.087728,"남향, 특올수리, 샷시포함, 입주가능","['25년이내', '올수리', '방세개', '화장실두개']",녹색공인중개사사무소
2060810106,1135010500,A01,A1,6/15,70000,92,66,남향,37.666523,127.059496,"정상,전체올수리 로얄동층,에이급실입주매물","['25년이상', '올수리', '역세권', '대단지']",푸른공인중개사사무소
2060794863,1135010500,A01,A1,2/5,65000,37,31,남향,37.65321,127.06528,역세권 남향 입주가능,"['25년이상', '역세권', '소형평수', '방한개']",엔젤공인중개사사무소
2060820307,1135010500,A01,A1,12/15,32000,63,45,,37.666712,127.068573,올수리 정남향 정상입주 됩니다.,"['25년이상', '올수리', '방두개', '화장실한개']",이삭공인중개사
2060832885,1135010300,A01,A1,17/19,57000,84,59,,37.628333,127.077197,"세안고매매, 기본수리","['25년이내', '역세권', '방세개', '화장실한개']",공릉역부자공인중개사
2060814154,1135010500,A01,A1,3/5,59000,60,54,남향,37.663925,127.054689,외부샷시및부분수리 남향 전세안고 7호선마들역세권 지분큰단지투자유망,"['25년이상', '역세권', '대단지', '소형평수']",삼성공인중개사사무소
2060794426,1135010500,A01,A1,4/12,70000,80,58,남향,37.653877,127.066874,남향 수리깨끗 입주가능 역세권,"['25년이상', '역세권', '대단지', '방두개']",엔젤공인중개사사무소
2060792135,1135010500,A01,A1,2/15,41000,62,44,남향,37.66261,127.063773,올수리된 입주가능한 깨끗한 집입니다.,"['25년이상', '올수리', '대단지', '소형평수']",닥터공인중개사사무소
2060815374,1135010500,A01,A1,4/15,38000,62,44,남향,37.66261,127.063773,정남향.로얄동.정상입주가능한  확실한 급매물입니다.,"['25년이상', '대단지', '급매', '소형평수']",하나공인중개사사무소
2060841126,1135010500,A01,A1,5/15,59000,77,54,남향,37.661771,127.063591,전망좋은 올수리  하시집볼수있습니다. 키,"['25년이상', '올수리', '대단지', '방두개']",부동산가이드공인중개
2060796113,1135010500,A01,A1,12/12,45000,59,41,남향,37.647697,127.061388,전세안고 올수리 남향 ,"['25년이상', '올수리', '역세권', '대단지']",1단지공인중개사사무소
2060817941,1135010500,A01,A1,1/15,69000,83,60,서향,37.650917,127.056191,정상입주,"['25년이상', '대단지', '1층', '방두개']",모아공인중개사
2060826003,1135010500,A01,A1,8/15,70000,101,84,,37.665638,127.068348,정남향 수리 정상입주,"['25년이상', '방세개', '화장실두개', '중층']",이삭공인중개사
2060764583,1135010600,A01,A1,8/15,120000,104,84,남향,37.649488,127.073593,샷시포함 전체 특올수리 된 아파트 입니다,"['25년이내', '올수리', '방세개', '화장실두개']",0003번부동산랜드공인중개사
2060762392,1135010600,A01,A1,2/15,40000,56,39,남향,37.644506,127.063479,  화장실수리 관리비 난방비  할인되는 아파트  세입자승계,"['25년이상', '역세권', '대단지', '욕실수리']",상아공인중개사사무소
2060792004,1135010600,A01,A1,5/14,130000,137,115,남향,37.64607,127.0726,"을지학군,집주인 거주하며  깨끗한 입주매물입니다","['25년이상', '대형평수', '방네개이상', '화장실두개']",반석부동산
2060756740,1135010400,A01,A1,4/15,57000,70,49,남향,37.635108,127.067493,남향 전체 올수리 전세안고 초역세권,"['25년이상', '올수리', '역세권', '대단지']",거산공인중개사사무소
2060781237,1135010400,A01,A1,1/15,50000,69,49,남향,37.632848,127.070457,내부수리된 남향집 접근성좋아 생활편리한 역세권다지,"['25년이상', '역세권', '대단지', '1층']",청솔공인중개사사무소
2060778234,1135010500,A01,A1,14/15,40500,62,44,남향,37.66261,127.063773,로얄층 올수리 입주가능 매물입니다.,"['25년이상', '올수리', '대단지']",닥터공인중개사사무소
2060780779,1135010400,A01,A1,11/15,43000,56,39,,37.632409,127.070768,채광우수한 남향 입주가능한 귀한매물,"['25년이상', '대단지', '소형평수', '방두개']",청솔공인중개사사무소
2060764590,1135010500,A01,A1,14/15,57000,71,49,남향,37.66885,127.057528,"최근올수리,세안고21년5월,전화주세요","['25년이상', '올수리', '역세권', '대단지']",을지공인중개사사무소
2060754389,1135010500,A01,A1,2/12,66000,80,58,남향,37.653436,127.067016,"노원더블역세권 남향, 월세안고 매매입니다","['25년이상', '역세권', '대단지', '방두개']",로얄공인중개사사무소
2060744869,1135010300,A01,A1,13/15,42900,69,48,남향,37.625974,127.087921,21p BEST 급.매 가격파괴 강력추천 남향 로얄동 입주가능,"['25년이내', '방두개', '화장실한개', '고층']",초대공인중개사사무소
2060756151,1135010500,A01,A1,4/15,40000,45,32,남향,37.650546,127.060457,"최근전체특올수리, 세안고, 로얄층, 남향","['25년이상', '올수리', '역세권', '대단지']",하나공인중개사사무소
2060777311,1135010500,A01,A1,13/15,47000,59,41,동향,37.645681,127.059396,올수리 입주가,"['25년이상', '올수리', '역세권', '대단지']",우리공인중개사사무소
2060789769,1135010500,A01,A1,15/15,72000,107,79,남향,37.665353,127.065371,로얄동 으로 앞틔인전망 실거주가능한 집,"['25년이상', '대단지', '탑층', '방세개']",삼성공인중개사사무소
2060759042,1135010300,A01,A1,2/3,110000,142,115,남향,37.625491,127.08949,"햇살가득 남향, 태랑초중학군","['25년이내', '대형평수', '방네개이상', '화장실두개']",우리공인중개사사무소
2060786351,1135010400,A01,A1,14/15,60000,83,59,남향,37.632439,127.072309,남향 로얄층 정상입주가능한 귀한매물,"['25년이상', '대단지', '방세개', '화장실한개']",을지공인중개사사무소
2060786210,1135010400,A01,A1,11/15,54000,70,49,남향,37.632848,127.070457,정상. 남향 로얄동 로얄층,"['25년이상', '역세권', '대단지', '방세개']",을지공인중개사사무소
