atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060134173,1132010500,C02,A1,2/5,18900,34,29,북서향,37.654664,127.017914,덕성여대 후문 인근 가격 너무 좋고 구조 좋은 신축빌라,"['2년이내', '역세권', '화장실한개']",마이하우징공인중개사사무소
2060355683,1132010700,C02,A1,4/8,29000,41,34,북동향,37.657176,127.041384,창동 가격 너무 좋은 3개동  신축빌라,"['2년이내', '화장실두개', '소형평수']",마이하우징공인중개사사무소
2060357907,1132010600,C02,A1,2/6,28900,51,41,북서향,37.662119,127.040187,"방학동 가격 좋고 구조 좋은  방3,욕실1  신축빌라","['2년이내', '화장실한개', '소형평수']",마이하우징공인중개사사무소
2060073337,1132010700,A01,A1,12/15,72000,80,58,남향,37.650349,127.043801,방2화1 올수리 조망권 창일초 창동역이마트7분내 공원등편의시설접,"['25년이상', '올수리', '역세권']",행복한나라 공인중개사사무소
2059060321,1132010800,C02,A1,4/4,42800,60,53,동향,37.679654,127.03918,도봉초 인근 내부 넓고 구조 좋은 복층 신축빌라,"['2년이내', '화장실세개', '소형평수']",마이하우징공인중개사사무소
2060571572,1132010800,A01,A1,16/19,65000,106,84,,37.687878,127.04841,전망이 너무 좋은 로얄층의 깔끔한집입니다.세끼고 매물입니다.,"['25년이내', '역세권', '방세개', '화장실두개']",수락리버시티공인중개사 사무소
2060518338,1132010600,A02,A1,15/15,15500,56,32,,37.669287,127.044725,세안고 올수리 리모델링 방학역20M 복층형풀옵션 관리비저렴 무료주차,"['25년이내', '올수리', '역세권']",부동산1번지공인
2060637233,1132010700,A01,A1,10/15,35000,52,36,남향,37.64543,127.05319,,"['25년이상', '역세권', '대단지', '소형평수']",LG 공인중개사사무소
2060609038,1132010600,C02,A1,1/4,12000,57,43,동향,37.662323,127.046419,"급매, 방학역세권 준공업지역, 빌라 방3개 실거주 또는 투자유망","['1층', '급매', '소형평수', '방세개']",탑공인중개사사무소
2060539439,1132010500,C02,A1,5/5,30000,82,73,,37.650876,127.026473,"전용22p,부분수리 완료된집","['25년이내', '탑층', '방세개', '주차가능']",미래공인중개사사무소
2060825367,1132010800,A01,A1,4/17,59000,102,84,남향,37.68697,127.04794,"1,7호선 더블역세권, 일조량 좋고 관리 잘 되어있는 남향 집","['25년이내', '역세권', '대단지', '방세개']",한신경제공인중개사사무소
2060636708,1132010700,C02,A1,1/4,20000,73,59,,37.643174,127.039717,구조 좋은 빌라 1층 방3칸 베란다 3  대우아파트 인근,"['25년이내', '1층', '방세개']",윤씨네공인중개사사무소
2060611322,1132010800,A01,A1,9/17,63000,102,84,,37.68645,127.04802,"올수리,전망좋고, 조용한로얄동","['25년이내', '올수리', '역세권', '대단지']",부동산써브 하나공인중개
2060629505,1132010600,A01,A1,8/15,37500,84,59,동향,37.661232,127.031454,"아주깨끗,접근성굿,지하주차장","['25년이내', '방두개', '화장실한개', '중층']",서울공인중개사사무소
2060587382,1132010800,A01,A1,5/5,47000,128,117,남향,37.687191,127.043702,도봉산역 도보3분 아파트5층 매매,"['25년이내', '역세권', '탑층']",굿모닝부동산공인중개사사무소
2060603577,1132010700,A01,A1,5/13,35000,69,49,남향,37.640794,127.041022,남향 지하주차장 일조권좋은 우량매물입니다,"['25년이내', '방두개', '화장실한개', '중층']",소망부동산공인중개사사무소
2060779912,1132010800,D02,A1,1/18,29000,23,23,,37.676276,127.047675,서울북부지방법원 인접.법무사사무소.,"['역세권', '1층']",중앙공인중개사사무소
2060571073,1132010800,A01,A1,15/22,83000,163,123,남향,37.682,127.046841,급매물 남향 수리깨끗 방4 입니다.,"['25년이내', '역세권', '급매', '대형평수']",래미안부동산공인중개사사무소
2060819152,1132010700,A01,A1,7/14,100000,246,203,,37.648,127.03899,"남향,쌍문역5분,전망좋은 고급 대형아파트 입니다","['25년이내', '역세권', '대형평수', '방네개이상']",푸르지오공인중개사사무소
2060769774,1132010700,C02,A1,4/6,22000,54,45,서향,37.643506,127.039928,깨끗 초등학교주변 재래시장 대형마트 5분,"['10년이내', '화장실한개', '소형평수', '방세개']",한양부동산공인중개사
2058836277,1132010600,C02,A1,4/6,30900,51,41,북서향,37.662119,127.040187,평화도봉인근 내부구조 좋고 인테리어 좋은신축빌라,"['2년이내', '화장실한개', '소형평수']",마이하우징공인중개사사무소
2060103878,1132010700,C02,A1,5/5,10000,54,36,남향,37.642007,127.040628,,"['소형평수', '탑층', '방두개']",-
2060531682,1132010800,A01,A1,15/17,60000,104,84,,37.68524,127.0495,전망최고 부분수리 빠른입주가능,"['25년이내', '대단지', '방세개', '화장실두개']",누원공인중개사
2060535119,1132010800,A01,A1,3/14,56500,104,84,남향,37.68433,127.0476,급매 남향 전세안고 내년2월입주가능,"['25년이내', '대단지', '급매', '방세개']",누원공인중개사
2060516977,1132010800,A01,A1,9/17,59000,102,84,남향,37.68532,127.04889,"02 955 6633 I 더블역세권 I 씽크대,신발장수리 I 일조량좋음","['25년이내', '대단지', '방세개', '화장실두개']",한신경제공인중개사
2060540715,1132010800,A01,A1,16/17,64000,102,84,,37.68761,127.04697,특올수리 전망최고 ,"['25년이내', '올수리', '역세권', '대단지']",누원공인중개사
2060542220,1132010800,A01,A1,3/13,63000,106,84,,37.687622,127.049105,전세안고 도봉산역3분,"['25년이내', '역세권', '방세개', '화장실두개']",누원공인중개사
2060550906,1132010600,A01,A1,5/11,62000,102,84,남향,37.65779,127.02538,강력추천 명품자재 특급올수리된 이쁜남향집 우수한주거환경 교통편리,"['25년이상', '올수리', '방세개', '화장실두개']",우리공인중개사사무소
2060500929,1132010800,A01,A1,4/17,59000,102,84,남향,37.68697,127.04794,더블역세권 I 숲세권 I 자연을 품은 도봉한신아파트,"['25년이내', '역세권', '대단지', '방세개']",한신경제공인중개사
2060498250,1132010800,A01,A1,8/17,57000,104,84,,37.68475,127.04822,"올수리,한샘주방,세안고,동간거리 넓은 로얄동.","['25년이내', '올수리', '대단지', '방세개']",플러스한신공인중개사사무소
2060520351,1132010800,A02,A1,12/14,19000,49,29,남향,37.682891,127.047284,ㄴ초역세권 풀옵션 투룸 일조량 좋고 주차공간 널널한 오피스텔,"['4년이내', '역세권', '소형평수', '화장실한개']",한신경제공인중개사
2060497331,1132010800,A01,A1,16/17,68000,102,84,남향,37.68427,127.0492,"남향,샤시포함 전체특올수리.","['25년이내', '올수리', '대단지']",플러스한신공인중개사사무소
2060498546,1132010800,A01,A1,3/17,60000,104,84,남향,37.68655,127.04707,"남향,샤시포함 수리,3분 초역세권.","['25년이내', '역세권', '대단지', '방세개']",플러스한신공인중개사사무소
2060517370,1132010800,A01,A1,8/17,65000,104,84,남향,37.68427,127.0484,"ㄴ02.955.6633 전망 좋고, 올수리 된 대단지 남향집, ","['25년이내', '올수리', '대단지', '방세개']",한신경제공인중개사
2060595809,1132010600,D05,A1,4/-1,120000,166,432,,37.665295,127.034977,방학동 도깨비시장에 있는 상가주택,"['방네개이상', '화장실네개이상', '주차가능']",이웃공인중개사사무소
2060587329,1132010600,C02,A1,5/5,17000,48,43,,37.667062,127.035235,"교통편리, 상태 아주깨끗, 학세권, 재래시장 있음","['25년이내', '소형평수', '탑층', '방세개']",이웃공인중개사사무소
2060624941,1132010500,C02,A1,5/5,21000,60,60,,37.657146,127.016841,전세 끼고 매매 하실분 공기 좋고 특 올수리 되어 있는 곳 전망 좋은곳,"['올수리', '역세권', '소형평수']",솔로몬공인중개사사무소
2060579555,1132010500,C02,A1,3/5,18500,60,50,,37.650245,127.025631,중문설치및 내부올수리 위치및 생활편의시설 좋은 빌라입니다,"['15년이내', '올수리', '소형평수', '방세개']",청원공인중개사사무소
2060594231,1132010700,A01,A1,1/14,55000,78,58,남향,37.65347,127.04298,"정상or월세안고, 올수리했어요","['25년이상', '올수리', '역세권', '1층']",대림공인중개사
2060578303,1132010600,C02,A1,2/6,17000,36,29,,37.665888,127.038101,"전세안고 매매, 임대사업자 가능, 교통편리, 신축급","['4년이내', '소형평수', '방두개', '화장실한개']",이웃공인중개사사무소
2060373661,1132010500,A01,A1,6/17,45000,87,65,,37.655773,127.032693,입주가능함 공기좋고 지하주차장유,"['25년이상', '방세개', '화장실한개', '중층']",동양공인중개사사무소
2060511232,1132010600,A01,A1,2/15,53000,102,84,남서향,37.661232,127.031454,전세안고매매 올수리됨 앞이틔여서 일조권굿,"['25년이내', '올수리', '방세개', '화장실두개']",제일공인중개사
2060507320,1132010500,C02,A1,2/4,14500,54,49,남동향,37.659591,127.032583,"공원조망굿,정상,아파트대단지 속","['소형평수', '방세개', '화장실한개', '총4층']",서울공인중개사사무소
2060552354,1132010800,C02,A1,4/4,19500,71,61,,37.685978,127.042982,도봉산역더블역세권 위치 좋고 수리되어 깨끗한 빌라 베란다2개 옥상사용가능,"['역세권', '탑층', '방세개', '화장실한개']",진공인중개사사무소
2060372464,1132010600,A01,A1,5/14,42000,80,58,남향,37.661612,127.033807,"확장올수리, 정상","['25년이상', '올수리', '방두개', '화장실한개']",서울공인중개사사무소
2060344560,1132010500,A01,A1,3/15,51000,100,84,남향,37.6585,127.02937,"20223월까지,전세25500만원,세안고 투자","['25년이상', '방세개', '화장실두개', '세안고']",성원공인중개사사무소
2060376223,1132010500,A01,A1,2/13,49000,89,70,남향,37.65859,127.03144,"올수리,정상,학군굿","['25년이상', '올수리', '방세개', '화장실한개']",서울공인중개사사무소
2060414638,1132010700,A01,A1,12/16,40000,83,59,남동향,37.641047,127.042198,오얄동 로얄층 전망굿 수리굿,"['25년이내', '방세개', '화장실한개', '고층']",신창공인중개사사무소
2060373276,1132010500,A01,A1,12/15,40500,71,56,남향,37.6581,127.03019,"특올수리,남향,학군굿","['25년이상', '올수리', '방두개', '화장실한개']",서울공인중개사사무소
2060510610,1132010700,C02,A1,2/6,21000,56,47,,37.643487,127.040065,창림초교. 대우아파트. 방3 화1 엘유. 거주 및 투자,"['10년이내', '소형평수', '방세개', '화장실한개']",현대공인중개사사무소
2060353975,1132010800,A01,A1,7/17,57000,104,84,남향,37.68602,127.04711,"깨끗관리된 남향,21년 8월만기","['25년이내', '역세권', '대단지', '방세개']",금빛공인중개사
2060559823,1132010800,C02,A1,4/4,10000,39,33,,37.681928,127.042496,도봉역 I 2룸 I 상태깔끔 I 일조량 좋음,"['역세권', '소형평수', '탑층', '방두개']",한신경제공인중개사
2060554535,1132010600,A01,A1,11/15,42000,73,53,남향,37.661388,127.026318,최근완전특급수리함 조망권특급 앞뒤가틔인동로얄동 빠른입주도가능,"['25년이상', '대단지', '방두개', '화장실한개']",제일공인중개사
2060577454,1132010800,D02,A1,1/3,80000,122,72,,37.669664,127.046806,ㄴ02 955 6633 역세권 상가 통매매 임대수요 활발합니다,"['역세권', '1층', '총3층']",한신경제공인중개사
2060374980,1132010500,A01,A1,2/15,50000,93,76,남향,37.657739,127.031874,"샷시,화장실수리, 정상, 학군굿","['25년이상', '대단지', '욕실수리', '방세개']",서울공인중개사사무소
2060377011,1132010600,A01,A1,14/15,47000,86,72,남향,37.66019,127.0327,"공원조망굿,라인굿,정상","['25년이상', '방세개', '화장실한개', '고층']",서울공인중개사사무소
2060371554,1132010600,A01,A1,9/15,38000,84,59,남서향,37.661232,127.031454,"올수리, 긴정상,지하주차장","['25년이내', '올수리', '방두개', '화장실한개']",서울공인중개사사무소
2060381764,1132010800,A01,A1,4/17,63000,104,84,남향,37.68475,127.04822,"올수리된 남향,정상입주","['25년이내', '올수리', '대단지', '방세개']",금빛공인중개사
2060526144,1132010700,A01,A1,11/21,90500,110,84,남향,37.65656,127.04504,"올확장,올수리,로얄동,로얄층,최상급매물입니다","['25년이내', '올수리', '역세권', '급매']",다올공인중개사사무소
2060365482,1132010500,A01,A1,12/15,42000,68,54,동향,37.65908,127.033896,"특올수리,정상입주,확트인전망","['25년이상', '올수리', '방두개', '화장실한개']",서울공인중개사사무소
2060286101,1132010700,A01,A1,14/15,38000,52,36,남향,37.64398,127.05297,"고층뷰 전망좋은집 바로입주가능 초역세권 갭투자,월세수익창출가능","['25년이상', '역세권', '대단지', '소형평수']",드림공인중개사사무소
2060307865,1132010500,A01,A1,10/14,60000,107,84,남향,37.655965,127.027602,"귀한매물, 학군굿, 협의입주되요.","['25년이내', '방세개', '화장실두개', '고층']",신화공인중개사무소
2060274645,1132010800,A01,A1,15/17,65000,102,84,동향,37.68761,127.04697,수락산중랑천창포원조망수려 최고급올수리 로얄층,"['25년이내', '올수리', '역세권', '대단지']",부동산114LG공인
2060170292,1132010500,A01,A1,9/15,50000,97,76,남향,37.6563,127.0321,"지하주차장있음,로얄동,로얄층,정상입주","['25년이상', '방세개', '화장실한개', '중층']",성원공인중개사사무소
2060264784,1132010500,A01,A1,15/15,58000,95,83,남향,37.655566,127.028321,"복층방4개,전망굿,선덕학군바로앞,주차편리하고접근성좋음","['25년이내', '복층', '탑층', '방세개']",한강 공인중개사사무소
2060275542,1132010800,A01,A1,8/17,56000,102,84,동향,37.68729,127.04659,특올수리 도봉산조망수려 초역세5분 급매,"['25년이내', '올수리', '역세권', '대단지']",부동산114LG공인
2058559549,1132010800,C02,A1,5/5,32800,61,53,,37.680726,127.043748,"도봉역 역세권, 방4욕실2, 복층빌라, 주변 편의시설 밀집","['2년이내', '역세권', '화장실두개']",친구부동산공인중개사사무소
2060289871,1132010800,A02,A1,11/14,16500,49,29,남향,37.682644,127.046858,"역세권 풀옵션 신축 투룸 오피스텔, 풍부한 임대수요, 대단지 프리미엄","['4년이내', '역세권', '소형평수', '화장실한개']",한신경제공인중개사
