atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060391898,1123010900,C02,A1,4/5,25300,36,29,남동향,37.586249,127.058651,1호선 회기역 도보510분 신축빌라 분양광고,"['2년이내', '역세권', '화장실한개']",더조은부동산공인중개사사무소
2060156486,1123010900,C02,A1,3/5,23900,35,28,북서향,37.586249,127.058651,1호선 회기역 도보510분 신축빌라 분양광고,"['2년이내', '역세권', '화장실한개']",더조은부동산공인중개사사무소
2060822926,1123010500,A01,A1,16/23,72000,85,59,동향,37.570011,127.060349,산전망좋고 전체올수리 주인거주 정상입주 가능해요,"['25년이내', '올수리', '방세개', '화장실한개']",동아사랑공인중개사사무소
2060742242,1123010400,A01,A1,11/21,140000,112,84,남향,37.576441,127.053203,"34,올확장, 올수리, 세끼고 매매, 청량리개발호재 수혜 1군아파트","['10년이내', '올수리', '대단지', '방세개']",한결부동산공인중개사사무소
2060728405,1123011000,A01,A1,15/18,83000,106,84,남향,37.600241,127.055869,34P매매 올수리 전세안고 매매 공기좋은 숲세권,"['25년이내', '올수리', '방세개']",한양공인중개사사무소
2060500379,1123010400,A01,A1,2/29,142000,114,84,,37.575936,127.048682,"34, 2층필로티ㅣ올확장ㅣ풀에어컨ㅣ채광좋은 남향","['4년이내', '방세개', '화장실두개', '세대당1대']",청량리일등공인중개사사무소
2060722772,1123010500,A01,A1,8/22,88000,108,84,남향,37.573374,127.053865,수리된남향 로얄층 입니다 전세안고 가능합니다,"['25년이내', '방세개', '화장실두개', '중층']",이화공인중개사무소
2060798065,1123011000,F01,A1,0/0,66000,36,37,,37.60114,127.060622,이문1구역 59타입 로얄동 초기투자금 6억원,[],114부동산공인중개사사무소
2060826973,1123010400,A01,A1,3/10,115000,84,59,남동향,37.575837,127.04986,25.올확장.시스템에어컨.입주가능.선호타입,"['10년이내', '대단지', '방세개', '화장실두개']",단지내OK공인중개사사무소
2060828041,1123010500,A01,A1,10/21,130000,111,84,남향,37.574205,127.056228,올확장.시스템에어컨5대.전세 안고 매매,"['4년이내', '대단지', '방세개', '화장실두개']",래미안크레시티공인
2060833303,1123010500,A01,A1,2/20,120000,111,84,남향,37.572119,127.054752, 0세안고진행  0푸르른나무조망,"['10년이내', '대단지', '방세개', '화장실두개']",삼성힐(단지내)공인중개사사무소
2060833204,1123010400,A01,A1,22/29,155000,114,84,남향,37.575936,127.048682,"입주가능 ,최고의뷰 채광,확장형 ,청량리역세권 개발수혜","['4년이내', '확장형', '방세개', '화장실두개']",드림공인중개사사무소
2060835814,1123010500,A01,A1,12/25,135000,115,84,남서향,37.571604,127.047786,"34P,더블역세권, 로얄동,로얄층, 시스템에어컨4, 전망좋은, 세안고 ","['2년이내', '역세권', '방세개', '화장실두개']",래미안일번지공인중개사사무소
2060831538,1123010400,A01,A1,19/29,120000,85,59,남향,37.575936,127.048682,"강추 ,탁트인뷰, 채광,청량리역세권개발수혜,에어컨,확장형 ","['4년이내', '확장형', '방세개', '화장실두개']",드림공인중개사사무소
2060841576,1123010500,A01,A1,26/26,137000,115,84,남동향,37.571038,127.048031,"추천,즉시입주가능한 공실,시스템에어컨4,채광굿,전망최고","['2년이내', '역세권', '탑층', '방세개']",래미안박사공인중개사사무소
2060827252,1123010500,A01,A1,17/20,110000,83,59,남향,37.56785,127.059459,"역까까운 로얄동,탁트인 최고의 전망,입주협의","['2년이내', '방세개', '화장실두개', '고층']",베스트부동산공인중개사사무소
2060835545,1123010500,A01,A1,16/17,110000,82,59,남향,37.572007,127.053056,막힘없는 정남향.부분확장. 주전세가능,"['10년이내', '대단지', '방세개', '화장실두개']",황금단지내공인중개사사무소
2060841911,1123010500,A01,A1,5/15,130000,109,84,남동향,37.570417,127.052634,녹색그린뷰.입주가능.확장. 채광풍부,"['10년이내', '역세권', '대단지', '방세개']",황금단지내공인중개사사무소
2060846359,1123010500,A01,A1,21/22,94000,73,48,동향,37.571963,127.046514,22 확장형 로얄층 더블역세권 전세안고,"['2년이내', '역세권', '확장형', '방두개']",좋은집(단지내)부동산공인중개사사무소
2060834560,1123010500,A01,A1,6/20,145000,150,121,남향,37.571422,127.055486,막힘없는뷰.입주가능.럭셔리한리모델링.에어컨4,"['10년이내', '대단지', '대형평수', '방네개이상']",황금단지내공인중개사사무소
2060824227,1123010500,A01,A1,7/15,128000,132,107,남서향,37.572086,127.04727,청량리개발수혜단지 트리플역세권 확장형 입주가능,"['10년이내', '역세권', '확장형', '대형평수']",청계한신공인중개사사무소
2060793543,1123010500,A01,A1,5/15,105000,82,59,남서향,37.572381,127.052496,"대단지, 입주협의 확장, 판상형","['10년이내', '대단지', '방세개', '화장실두개']",래미안신화공인중개사사무소
2060794594,1123010500,A01,A1,20/20,130000,110,84,남향,37.575404,127.056244,추천해요 확장형에 에어컨에 입주가능 깨끗한 집 뷰도 좋아요 ,"['4년이내', '확장형', '대단지', '탑층']",한결부동산공인중개사사무소
2060785429,1123010500,A01,A1,13/17,78000,110,82,동향,37.575556,127.061954,근린공원이 내정원 전망최고 빠른입주가능 깔끔 급추천,"['25년이내', '방세개', '화장실두개', '고층']",부동산플러스서울공인중개사사무소
2060785928,1123010500,A01,A1,8/21,130000,109,84,남서향,37.572063,127.055613,"생활권이 편리한동으로 확장, 판상형, 집상태 아주 깨긋","['10년이내', '대단지', '방세개', '화장실두개']",래미안신화공인중개사사무소
2060824949,1123011000,A01,A1,4/25,69000,86,59,,37.601656,127.070755,"입주가능한집, 시원한중랑천뷰, 선호하는 타입","['25년이내', '역세권', '방세개', '화장실한개']",현대(단지내)공인중개사사무소
2060802507,1123010200,A01,A1,2/20,115000,112,84,남동향,37.575296,127.035365,마음껏 뛰어도 층간소음 걱정없는 집 l 거실앞 조경이 예쁜 집,"['10년이내', '역세권', '필로티', '방세개']",미래공인중개사사무소
2060820325,1123010500,A01,A1,3/22,92000,73,48,남향,37.571963,127.046514,"꺠끗하고 아늑한 집, 올확장.에어컨.신축.신답역 답십리 역세권","['2년이내', '역세권', '방두개', '화장실한개']",한결부동산공인중개사사무소
2060812534,1123010500,A01,A1,14/28,117000,85,59,남향,37.571645,127.046052,"확장형,주인거주중,시스템에어컨","['2년이내', '역세권', '확장형', '방세개']",대박부동산믿음공인중개사사무소
2060798394,1123010500,A01,A1,5/15,110000,82,59,,37.573373,127.05535,전세안고 귀한A타입,"['4년이내', '대단지', '방세개', '화장실두개']",크로바공인중개사사무소
2060824576,1123010500,A01,A1,8/9,95000,113,84,남향,37.574011,127.050132,조용하고 가성비높은 단지.입주정상.,"['10년이내', '방세개', '화장실두개', '고층']",제일공인중개사무소
2060820527,1123011000,A01,A1,15/25,69000,86,59,남동향,37.601361,127.069796,"입주가능,시원한 중량천뷰, 올수리된 관리잘된 집,","['25년이내', '올수리', '역세권', '방세개']",현대(단지내)공인중개사사무소
2060804967,1123010500,A01,A1,8/27,137000,115,84,남향,37.571468,127.047423,"입주가능,인테리어시공 ,2.5호선 교통굿 ,확장형 ","['2년이내', '역세권', '확장형', '방세개']",드림공인중개사사무소
2060825798,1123010500,A01,A1,3/26,129900,115,84,남동향,37.571038,127.048031,35.급매.인테리어굿.에어컨5.입주가능,"['2년이내', '역세권', '급매', '방세개']",두꺼비공인중개사사무소
2060826519,1123010400,A01,A1,8/21,140000,112,84,남동향,37.576895,127.052462,34.입주가능.로얄동.로얄층.부분확장,"['10년이내', '대단지', '방세개', '화장실두개']",단지내OK공인중개사사무소
2060787091,1123010200,A01,A1,18/20,120000,112,84,남동향,37.574674,127.035328,로얄층이며  확장형 앞이 트여 전망이 좋음 ,"['10년이내', '역세권', '확장형']",동일공인중개사
2060799737,1123010500,A01,A1,5/28,130000,115,84,남서향,37.571645,127.046052,"34 확장형, 더블역세권, 막힘없는 뷰, 시스템에어컨2,세안고 ","['2년이내', '역세권', '확장형', '방세개']",래미안일번지공인중개사사무소
2060816253,1123010500,A01,A1,3/20,130000,111,84,남동향,37.570584,127.054251,33올확장 시스템에어컨4대 정원뷰 상태굿 입주가,"['10년이내', '역세권', '대단지', '방세개']",초록(단지내)공인중개사사무소
2060786283,1123010500,A01,A1,8/15,75000,95,76,남서향,37.570764,127.059966,근린공원이 내정원 맑은공기  확트인 뷰 올확장 올수리 전세안고매매,"['25년이상', '올수리', '방세개', '화장실한개']",부동산플러스서울공인중개사사무소
2060786508,1123011000,A01,A1,16/21,80000,107,84,남동향,37.601096,127.070512,"반가운소식, 중랑천조망이 멋집니다.","['25년이내', '역세권', '방세개', '화장실두개']",까치공인중개사사무소
2060781492,1123010400,A01,A1,9/15,48000,55,44,동향,37.5776,127.06614,귀한매매물 살기좋은 대단지 최고선호하는로얄동 로얄층 투자가치좋음 전세안고,"['25년이상', '대단지', '소형평수', '방두개']",굿모닝공인중개사사무소
2060760883,1123011000,A01,A1,6/12,82000,109,84,남향,37.603858,127.063151,"33P BEST 현재주인거주중,확장형,내부상태上,12월29일잔금조건","['15년이내', '역세권', '확장형', '방세개']",골드(단지내)공인중개사사무소
2060762992,1123010200,A02,A1,13/14,19500,38,18,남향,37.570811,127.028386,햇살가득 정남향. 로얄층 청계천조망 GOOD 수납공간 좋은 복층형. ,"['2년이내', '복층', '소형평수']",그린(2299-6800)공인중개사사무소
2060779562,1123010500,A01,A1,1/27,102000,85,59,남서향,37.571468,127.047423,25p 확장 더블신답 답십리역세권 입주협의,"['2년이내', '역세권', '1층', '방세개']",단지내정민정공인중개사사무소
2060759385,1123010500,A01,A1,5/24,123000,112,90,,37.572709,127.046266,"입주가, 올확장, 인테리어굿, 깨끗, 트인뷰, 신답역인접","['10년이내', '역세권', '방세개', '화장실두개']",럭키민공인중개사사무소
