atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2059915301,1159010200,D03,A1,3/-1,173000,132,292,,37.495701,126.932538,융자 소액투자로 월세 나오는 집,[],골드부동산중개사무소
2059565814,1159010200,C03,A1,3/-1,205000,161,299,,37.50482,126.936069,장승배기역 도보 2분거리소액 투자로 건물주,"['역세권', '방네개이상', '주차가능']",우주부동산공인중개사사무소
2060825288,1159010900,C02,A1,-1/4,19800,39,39,남동향,37.496072,126.924622,재개발 구역안에 있는 빌라 매도합니다,"['25년이내', '소형평수', '방두개', '화장실한개']",-
2060744346,1159010700,A01,A1,14/15,82000,60,46,,37.487571,126.978644,"올수리 되어 깔끔하고 채광좋음 입주가능해요,이수역세권","['25년이상', '올수리', '역세권', '대단지']",우주공인중개사사무소
2060744368,1159010700,A01,A1,14/16,140000,107,84,,37.489696,126.973199,판상형  로얄동  로얄층  입주협의,"['10년이내', '방세개', '화장실두개']",119래미안로이파크공인
2060728375,1159010800,A01,A1,9/24,130000,105,84,,37.511918,126.928803,"확장샷시올교체.완벽올수리집.정상입주,대방역5분","['25년이내', '올수리', '역세권', '방세개']",사랑공인중개사사무소
2060528239,1159010700,A01,A1,1/15,90000,75,59,,37.489033,126.975741,"특올수리, 정상","['25년이상', '올수리', '대단지']",한진공인중개사사무소
2060498804,1159010800,A01,A1,13/19,95000,84,59,남향,37.5085,126.924509,"시설양호한,남향,입니다","['25년이상', '대단지', '방세개', '화장실한개']",에이스공인중개사사무소
2060619435,1159010200,A01,A1,15/18,140000,109,84,남향,37.495442,126.950412,"입주가능, 올확장, 확트인뷰, led교체, 02 823 8500","['10년이내', '역세권', '대단지', '방세개']",드림(단지내)공인중개사사무소
2060782987,1159010400,A01,A1,2/17,95000,79,59,,37.51046,126.95043,정원조망권 상태최상급 채광좋은 집 입주가능 신혼추천,"['25년이내', '역세권', '방세개']",랜드마크공인중개사사무소
2060784120,1159010700,A01,A1,6/25,132000,80,59,남서향,37.489556,126.972167,세안고 전망좋으며 귀한매물입니다,"['2년이내', '방세개', '화장실두개', '세대당1대']",삼성래미안공인중개사사무소
2060795273,1159010700,A01,A1,1/11,85000,103,84,남향,37.486145,126.972117,"확장,입주가능.","['10년이내', '역세권', '1층', '방세개']",승지공인중개사사무소
2060782493,1159010400,A01,A1,4/13,79000,78,56,서향,37.50978,126.95435,숲조망권 올인테리어 채광좋은 집 입주가능,"['25년이내', '역세권', '방두개']",랜드마크공인중개사사무소
2060829032,1159010800,A01,A1,16/23,95000,110,84,남향,37.514285,126.929539,대방역초역세권 부분수리되어 상태깨끗하고 좋음 주인이 전세6억가능 전망굿,"['25년이내', '역세권', '방세개', '화장실두개']",소망공인중개사사무소
2060797193,1159010700,A01,A1,15/20,123000,154,114,남동향,37.489463,126.970285,"숲세권의 로얄층, 쾌적성 채광 뛰어난 수리 잘 된 집입니다","['25년이내', '대형평수', '방네개이상', '화장실두개']",델타(래미안상가)공인중개사사무소
2060820148,1159010200,A01,A1,3/18,88000,77,59,남동향,37.507374,126.948639,전체 올수리된 깨끗한 매물이며 입주는 12월 협의 입니다 ,"['25년이내', '올수리', '역세권', '대단지']",현대(단지내상가)공인중개사사무소
2060833882,1159010700,A01,A1,4/11,65000,59,42,남서향,37.488795,126.977406,"깨끗함.이수역세권,주인거주 입주협의","['25년이내', '역세권', '소형평수', '방두개']",한빛공인중개사사무소
2060823869,1159010700,A01,A1,12/17,135000,108,84,남서향,37.489767,126.974091,세안고 매매,"['10년이내', '방세개', '화장실두개', '고층']",열린(단지내)공인중개사
2060798041,1159010700,A01,A1,14/15,102000,76,59,,37.487571,126.978644,"삼일초, 이수역 5분","['25년이상', '역세권', '대단지', '방두개']",탑(래미안정문)공인중개사사무소
2060792137,1159010400,A01,A1,1/12,97000,109,84,동향,37.51015,126.95147,추천투자매물 입구동 내부특올수리되어 깔끔하고 채광 좋고 밝은 집입니다.,"['25년이상', '올수리', '역세권', '1층']",썬신동아(단지내)공인중개사사무소
2060776732,1159010800,A01,A1,1/24,108000,105,84,동향,37.511918,126.928803,"34p,아이들 맘껏뛰놀수있는집,입주가능,집상태 깨끗","['25년이내', '역세권', '1층', '방세개']",서울공인중개사사무소
2060767687,1159010700,A01,A1,1/15,105000,109,84,남서향,37.488366,126.976711,"급매, 입주가","['25년이상', '대단지', '1층', '급매']",이재공인중개사사무소
2060772520,1159010700,A01,A1,13/23,115000,142,114,남향,37.488018,126.96266,"관악산 조망,특올수리,입주일협의","['25년이내', '올수리', '대형평수', '방네개이상']",미래공인중개사사무소(단지내)
2060781196,1159010700,A01,A1,4/20,128000,154,114,남서향,37.489368,126.969721,숲세권 조망 채광 좋은 로얄동 입주가능합니다,"['25년이내', '대형평수', '방네개이상', '화장실두개']",삼성래미안공인중개사사무소
2060780336,1159010400,A01,A1,26/28,167000,108,84,동향,37.514394,126.950656,환상적인 한강조망라인 로얄층 입주가능한 귀한매물,"['10년이내', '역세권', '방세개']",행복공인
2060772821,1159010700,A01,A1,4/20,75000,81,59,동향,37.489553,126.962017,"전망좋음,전세안고","['25년이내', '방세개', '화장실한개', '세대당1대']",미래공인중개사사무소(단지내)
