atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060157004,1144012300,C02,A1,3/5,37800,32,27,동향,37.55518,126.908869,망원역초역세권 투자가치 굿 투룸. 내집마련의 꿈을 이루어드립니다.,"['2년이내', '역세권', '소형평수']",주식회사유니온부동산중개
2060145846,1144011400,C02,A1,2/6,58800,53,42,,37.549914,126.929436,내집마련의 꿈을 이루어드립니다. 마포구 최고급 신축빌라 쓰리룸 분양광고,"['2년이내', '역세권', '화장실두개']",주식회사유니온부동산중개
2059921238,1144012500,C02,A1,2/6,34300,32,27,남서향,37.558532,126.91449,6호선 망원역 도보510분 신축빌라 분양광고,"['2년이내', '역세권', '화장실한개']",더조은부동산공인중개사사무소
2059645832,1144010900,C02,A1,2/4,46000,20,14,,37.55545,126.947157,염리4구역 재개발예정지 신축빌라매매 전세1억3천,"['역세권', '화장실한개', '소형평수']",이대명품공인중개사사무소
2059278755,1144012300,C02,A1,3/5,29000,42,35,남동향,37.553692,126.906573,현재공실  즉시입주가능  2룸  욕1 다용도실유 ,"['15년이내', '역세권', '화장실한개']",호박공인중개사사무소
2060735161,1144011100,A01,A1,4/15,83000,79,57,남향,37.547808,126.937038,주인거주 상태좋은 매물 12월중 입주협의,"['25년이내', '역세권', '방두개', '화장실두개']",연세공인중개사사무소
2058891101,1144012300,C02,A1,2/5,37800,32,27,북향,37.55518,126.908869,투자가치 실거주 모두 충족,"['2년이내', '역세권', '화장실한개']",믿음공인중개사사무소
2060635329,1144011400,A01,A1,15/19,81000,80,59,남동향,37.552546,126.931844,"남향, 초급매매, 전망 우수, 추천 매매, 정상 입주.","['25년이내', '역세권', '급매', '방세개']",청운공인중개사사무소
2060561278,1144010400,A01,A1,4/15,135000,148,128,남향,37.539724,126.953933,실사진 올리뉴얼  신축급 내부상태  로얄동  교통최고의 입지  입주가능,"['25년이내', '역세권', '대단지']",한길공인
2060828133,1144010400,A01,A1,11/20,117000,139,113,동향,37.537196,126.951343,전세 안 거나    입주 협의  42 p,"['25년이내', '대형평수', '방네개이상', '화장실두개']",엘부동산공인중개사사무소
2060833416,1144010300,A01,A1,4/22,125000,142,114,북서향,37.547078,126.958165,입구동에 있어 편리한 아파트 전세안고 매매 입니다.,"['25년이내', '대형평수', '방네개이상', '화장실두개']",신공덕공인중개사사무소
2060834112,1144011200,A01,A1,13/13,160000,133,114,남향,37.543191,126.932543,남향으로 한강조망되며 확장형으로 올수리했으며 입주협의.,"['25년이내', '올수리', '역세권']",한길공인중개사사무소
2060830544,1144011200,A01,A1,18/19,105000,79,59,남향,37.543621,126.933272,남향으로 한강밤섬조망되며 전세안고 매매.입주도 가능함.,"['25년이내', '역세권', '방세개', '화장실두개']",한길공인중개사사무소
2060819642,1144011600,A01,A1,24/25,210000,163,132,남향,37.544701,126.92916,한강조망 굳굳굳 에어컨 풀설치 입주매매,"['15년이내', '역세권', '대형평수']",코리아공인중개사사무소
2060830994,1144011200,A01,A1,3/25,97000,87,59,동향,37.542563,126.932891,동향으로 깨끗하며 전세안고 매매.2021년2월입주가능.,"['25년이내', '방세개', '화장실한개', '세대당1대']",한길공인중개사사무소
2060833037,1144010900,A01,A1,13/17,120000,109,84,남동향,37.549437,126.946838,"매매보류.매매보류.직통703 5555, 3 2p 작은방 확장,","['25년이내', '역세권', '방세개', '화장실두개']",청춘공인중개사사무소
2060840017,1144010100,A01,A1,5/25,148000,80,59,남향,37.553155,126.954583,"이화전속, 정남향, 평지,역세권3분, 마래푸의 인기 로얄동, 판상형구조","['10년이내', '역세권', '대단지', '방세개']",이화공인중개사사무소
2060839909,1144011100,A01,A1,11/15,120000,101,84,남서향,37.542976,126.936699,"한강조망권,상태양호,로얄동 로얄층,입주협의.","['25년이내', '방세개', '화장실두개', '고층']",삼성(단지내)공인
2060837092,1144010800,A01,A1,21/22,105000,83,59,남동향,37.544595,126.943466,최선호동 104동 로얄층  입주11월  협의가능 염리초배정,"['25년이내', '역세권', '대단지', '방세개']",삼성공인중개사사무소
2060832089,1144011100,A01,A1,18/19,138000,105,84,남향,37.548052,126.934024,역세권  서울시과학고1위광성중고 단지앞인접 명문대 홍대서강대도보가능 ,"['25년이내', '역세권', '방세개', '화장실두개']",114세종부동산공인중개사사무소
2060817517,1144011400,A01,A1,3/5,57000,64,57,남서향,37.549609,126.927891,실입주 가능한 3룸 매매. 확장형. 인테리어 굿. 숲세권,"['15년이내', '역세권', '확장형', '방세개']",골드아이파크공인중개사사무소
2060796810,1144010100,A01,A1,14/20,170000,139,111,남향,37.555513,126.959627,T.364.7700.42P 남향   조용하고 살기좋아요 전망굿,"['4년이내', '역세권', '대형평수']",마래푸단지내공인중개사사무소
2060812785,1144010400,A03,A1,5/37,77000,76,59,북향,37.540118,126.945599,세안고매매 내부깔끔 투룸투욕실구조 마포역지하연결,"['25년이내', '역세권', '방두개']",마포공인
2060772654,1144010400,A01,A1,1/15,113000,107,79,남향,37.536972,126.948427,"남향,깨끗함,전세안고 매매입니다.","['25년이상', '역세권', '대단지', '1층']",롯데공인중개사사무소
2060761418,1144010500,A01,A1,9/20,200000,110,84,남동향,37.5414,126.943827,한강조망예뻐요 초더블역세권5분내 신축4년  염리초배정,"['4년이내', '역세권', '방세개', '화장실두개']",신반석부동산공인중개사사무소
2060796486,1144010100,A01,A1,8/28,150000,114,84,남향,37.55566,126.95889,T.364.7700. 입주매매 남향  올확장 풀옵션 풀에어컨,"['4년이내', '역세권', '방세개', '화장실두개']",마래푸단지내공인중개사사무소
2060782076,1144011100,A01,A1,7/24,105000,112,84,남향,37.551213,126.935835,"실매물사진, 샷시부터 화장실까지 모두 최신 올수리, 중문, 경의선 숲길","['25년이내', '올수리', '역세권']",비타민(6053-4545)공인중개사사무소
2060772322,1144011400,A01,A1,12/12,160000,149,119,남향,37.548448,126.928994,남향확장  인테리어잘된 집,"['15년이내', '역세권', '대형평수']",마포행운공인중개사사무소
2060779673,1144010600,A01,A1,9/25,135000,108,84,서향,37.539153,126.941472,"한강조망우수,올수리,지역난방,입주협의.","['25년이내', '올수리', '역세권']",삼성(단지내)공인중개사사무소
2060767245,1144010100,A01,A1,10/20,160000,114,84,남동향,37.555513,126.959627,로얄층 조용한동 입주협의,"['4년이내', '역세권', '방세개']",다원공인중개사사무소
2060773708,1144011600,A01,A1,14/25,210000,169,138,남향,37.544237,126.928703,51 추천매물 한강조망최고 ,"['15년이내', '역세권', '대형평수']",밤섬자이공인중개사사무소
2060765090,1144011600,A01,A1,22/25,215000,169,138,남향,37.544929,126.92849,한강 사이 조망 가능 입주협의 조용한 동 올수리 된 집,"['15년이내', '올수리', '역세권', '대형평수']",토토공인중개사사무소
2060800766,1144010900,A01,A1,2/20,74500,83,58,남서향,37.551541,126.948177,"전세끼고 매매,올수리 되어 있어요,4층높이","['25년이내', '올수리', '방두개', '화장실한개']",상록(707-0880)공인중개사사무소
2060801304,1144010900,A01,A1,14/20,80000,81,57,남향,37.551541,126.948177,"입주매매,조용하고 조망이 좋아요,올수리,정남향,","['25년이내', '올수리', '방두개', '화장실한개']",상록(707-0880)공인중개사사무소
2060801699,1144010600,A01,A1,18/28,105000,80,59,남서향,37.53949,126.941829,,"['25년이내', '역세권', '방두개']",정우부동산공인중개사사무소
