atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060343473,1141011700,C03,A1,2/0,210000,297,146,남향,37.570815,126.931133,신축 첫입주,"['2년이내', '방네개이상', '화장실세개']",연희제일공인중개사사무소
2059891224,1141011700,C02,A1,7/7,46000,76,67,동향,37.577506,126.932651,핫 좋다 예쁜신혼부부님 컨디션좋은 3룸 신축빌라,"['2년이내', '테라스', '화장실두개']",어반공인중개사사무소
2060759821,1141011000,A01,A1,5/17,83000,82,59,남동향,37.558717,126.949831,"탑.312.6300,급매,바로입주가,초품아,투자가치최대아파트","['25년이내', '역세권', '급매', '방세개']",힐스테이트탑공인중개사사무소
2059006961,1141011400,C03,A1,2/-1,270000,305,312,남향,37.569437,126.944026,"마지막 1세대, 완판 임박신축, 서두르세요,  4개층 복층형","['방네개이상', '화장실네개이상', '주차가능']",한남오거리공인중개사사무소
2060671921,1141011000,C03,A1,1/1,55000,79,79,,37.557911,126.958565,아현동 가구거리 투자매물,"['15년이내', '역세권', '1층', '방한개']",-
2060494019,1141011800,A01,A1,5/15,89500,164,142,동향,37.595,126.9455,올수리ㅣ입주 가능ㅣ조망이 좋음ㅣ,"['25년이내', '올수리', '대단지', '대형평수']",삼성공인중개사사무소
2060470738,1141011700,C02,A1,2/3,13000,30,30,남동향,37.572641,126.927134,고급 주택가 연희동 좋은 터 집입니다.,"['화장실한개', '소형평수', '방한개']",-
2060772995,1141011100,A01,A1,14/15,110000,131,120,남향,37.58265,126.947989,45P 입구 최고인기동 전망최고 상태굿 입주협의,"['25년이상', '역세권', '방네개이상', '화장실두개']",부동산뱅크홍제공인중개사
2060770799,1141011100,A01,A1,16/17,61000,85,59,,37.591126,126.949636,전망좋고 내부깨끗한집.세안고매매.,"['25년이내', '방세개', '화장실한개', '고층']",부동산뉴스공인중개사사무소
2060772461,1141011100,A01,A1,6/18,75000,107,84,동향,37.592166,126.94807,입주가능. 평지. 홍제역세권.,"['25년이내', '방세개', '화장실두개', '세대당1대']",부동산뉴스공인중개사사무소
2060784948,1141011100,A01,A1,14/20,63000,85,59,남동향,37.59188,126.94925,초록숲이 보이는 인왕산전망 올수리 거실확장 샷쉬교체했음,"['25년이내', '올수리', '방세개', '화장실한개']",부동산써브하나공인중개사
