atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060380263,1165010800,A02,A1,11/23,38000,80,38,남향,37.484218,127.017812,내부상태 깨끗한 남향 고급 오피스텔,"['15년이내', '역세권', '화장실한개']",퍼펙트공인중개사사무소
2060396031,1165010100,C02,A1,3/6,137700,103,84,남향,37.492435,126.996159,"실 40 P, 신축 고급빌라, 주차2대 완벽, 4룸 2욕실 고급 인테리어","['2년이내', '화장실두개', '방네개이상']",퍼스트하우스공인중개사사무소
2060283780,1165010800,A01,A1,4/6,77900,41,34,서향,37.486454,127.003902,선시공후분양  천만금짜리 정원뷰  정보사부지개발 직접수혜지역,"['2년이내', '소형평수', '방한개']",강남부동산벗공인중개사사무소
2060396609,1165010100,C02,A1,5/5,45000,24,21,북향,37.492619,126.987723,"실23 P, 우수조망권 갖춘 대형 2룸 복층구조, 풀옵션, 긴 미니테라스","['2년이내', '테라스', '화장실두개']",퍼스트하우스공인중개사사무소
2060286916,1165010800,A03,A1,24/33,190000,105,80,남향,37.486834,127.011095, 올에어컨 5650066,"['2년이내', '방세개', '화장실두개']",우리공인중개사
2060344128,1165010200,C02,A1,1/4,36000,48,41,,37.473308,127.041603,급매 역세권 근린공원근처 올수리된 귀한 빌라 매매 실입주 갭투자 가능,"['25년이내', '올수리', '역세권']",ok공인중개사사무소
2060088717,1165010800,C02,A1,6/6,53500,34,28,남향,37.488079,127.01754,잘지어진 2룸 신축빌라 신혼부부강추,"['2년이내', '역세권', '화장실한개']",수호부동산중개
2060087501,1165010800,C02,A1,4/6,53500,31,25,서향,37.488079,127.01754,서초동 더블역세권 위치좋은 신축2룸,"['2년이내', '역세권', '화장실한개']",수호부동산중개
2060396330,1165010100,C02,A1,5/5,87000,55,47,남향,37.486939,126.985506,"실35 P, 신축빌라 복층형 테라스하우스, 볕이 잘들고 따뜻한 집입니다.","['2년이내', '테라스', '역세권']",퍼스트하우스공인중개사사무소
2059799423,1165010200,A01,A1,3/9,48000,43,32,동향,37.479213,127.041384,13. 매물 3개 정상입주 소형 평수 귀한 매매 주차장 편리,"['25년이내', '소형평수', '방한개']",거성부동산중개사무소
2059845856,1165010100,C02,A1,2/5,80000,78,67,,37.486939,126.985506,,"['역세권', '화장실두개', '방세개']",최씨네공인중개사사무소
2060047039,1165010800,C02,A1,2/6,52000,31,25,,37.488079,127.01754,신축빌라 투룸 있습니다 ,"['2년이내', '역세권', '화장실한개']",공룡공인중개사사무소
2060139166,1165010800,A02,A1,16/31,95000,126,54,남향,37.487165,127.011185,투자로인기좋은 2.5룸  트리플역세권,"['2년이내', '방두개', '화장실한개']",금나무공인중개사사무소
2060139736,1165010800,A02,A1,12/31,43000,58,24,북향,37.487165,127.011185,투자로 수익률 좋은 매매,"['2년이내', '소형평수', '방한개']",금나무공인중개사사무소
2060129414,1165010800,A02,A1,18/31,39000,58,24,북향,37.487165,127.011185,급하게 나온 매매 확장형원룸 서초 센트럴 아이파크,"['2년이내', '확장형', '소형평수']",강남디자인공인중개사사무소
2059822033,1165010800,A03,A1,6/14,51000,63,49,남향,37.49346,127.01552,"서초리시온아파트, 남향, 즉시 입주","['25년이내', '역세권', '방한개']",열린공인중개사사무소
2059562299,1165010100,A01,A1,6/13,290000,261,229,,37.491133,126.996779,뷰가 너무 좋다,"['25년이내', '역세권', '대형평수']",방배원부동산중개법인주식회사
2059874733,1165010800,B01,A1,12/35,265000,111,84,남동향,37.49032,127.027857,실가격O 조합원분 귀한 매매 ,"['2년이내', '대단지', '방세개']",황금1공인중개사사무소
2059562864,1165010100,C02,A1,6/6,78700,42,35,,37.49257,126.994002,,"['2년이내', '소형평수', '탑층']",방배원부동산중개법인주식회사
2059588013,1165010800,C03,A1,2/-2,335000,365,613,남향,37.487529,127.019224,,"['25년이내', '역세권', '방네개이상']",대경공인중개사무소
2058861106,1165010100,C02,A1,3/6,47300,34,29,,37.478906,126.985041,실매물 신축 첫입주 분양 주변환경 너무 좋은 방배 헤스티아,"['역세권', '화장실한개', '소형평수']",최씨네공인중개사사무소
2059561791,1165010100,C02,A1,4/4,148000,89,80,,37.49649,126.992752,복층 테라스,"['테라스', '탑층', '방네개이상']",방배원부동산중개법인주식회사
2059561916,1165010100,C02,A1,3/4,119000,90,81,,37.49649,126.992752,신축 즉시입주가능,"['2년이내', '방세개', '화장실두개']",방배원부동산중개법인주식회사
2059562753,1165010100,C02,A1,6/6,87300,55,46,,37.49257,126.994002,2룸 2욕실 다락방이 있어요,"['2년이내', '소형평수', '탑층']",방배원부동산중개법인주식회사
2058773127,1165010800,A01,A1,6/7,165000,110,83,,37.486061,127.003147,서초동 고급단지내 투자가치 좋은 아파트,"['2년이내', '방세개', '화장실두개']",칸공인중개사사무소
2059292511,1165010100,C02,A1,3/6,139700,103,84,북서향,37.492435,126.996159,방배동 고급빌라내에 위치한 평수넓고 구조좋은 포룸매매 실입주가능,"['2년이내', '화장실두개', '방네개이상']",미르공인중개사사무소
2058773237,1165010800,A01,A1,5/7,151500,110,83,,37.486061,127.003147,서초동 고급단지내 투자가치 좋은 아파트,"['2년이내', '방세개', '화장실두개']",칸공인중개사사무소
2059289895,1165010800,C02,A1,5/5,79800,75,61,남향,37.481616,127.007882,"실30p, 복층형 대형 4룸 신축빌라, 주차 완벽, 남향이라 볕이 좋아요","['2년이내', '화장실두개', '대형평수']",퍼스트하우스공인중개사사무소
2059043785,1165010100,C02,A1,2/4,52000,60,48,남동향,37.47622,126.993357,,"['10년이내', '화장실한개', '소형평수']",수호부동산중개
2060771423,1165010200,C02,A1,3/5,50000,71,55,,37.484368,127.038289,양재역세권  입주가능 갭투자도가능,"['25년이내', '역세권', '방두개', '화장실한개']",양재한신부동산공인중개사사무소
2060540949,1165010600,A04,A1,8/12,260000,87,80,동향,37.510747,127.01371,,"['25년이상', '역세권', '방한개', '화장실한개']",덕우공인중개사사무소
2060259182,1165010800,A03,A1,저/24,35000,57,42,북향,37.484553,127.016881,소액투자  역세권 임대수익추천 내부수리됨,"['25년이내', '역세권', '소형평수']",퍼펙트공인중개사사무소
2060820717,1165010700,A01,A1,17/26,320000,110,84,북서향,37.505591,126.99317,34 급매입니다 조용하고 확트인뷰 한강 관리상태최고 주인직접매물,"['10년이내', '역세권', '대단지', '급매']",래미안114공인
2060818548,1165010700,A01,A1,7/19,305000,112,84,남향,37.505798,126.994264,,"['10년이내', '역세권', '대단지']",래미안114공인
2060820371,1165010700,A01,A1,8/30,330000,112,84,남서향,37.506582,126.993202,34 확트인뷰 최고학군 풀옵션 컨디션 최상 전세가득,"['10년이내', '역세권', '대단지']",래미안114공인
