atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060311762,1120011200,A01,A1,8/18,130000,73,59,,37.544427,127.022217,입주가능. 한강조망. 확장. 완벽올수리,"['15년이내', '올수리', '방세개']",명품자이중개사사무소
2059917360,1120011200,D02,A1,-1/2,58000,90,41,,37.546815,127.026582,아케이드형 신축상가내 엘리베이터옆이라 단지 내외부에서 접근성 최고상가,"['4년이내', '엘리베이터', '총2층']",중앙하이츠공인
2059923775,1120012200,C02,A1,5/13,27900,40,33,서향,37.561436,127.060486, 5호선 장한평역 도보510분  신축빌라 분양광고,"['2년이내', '역세권', '화장실한개']",더조은부동산공인중개사사무소
2059661267,1120011500,C02,A1,2/4,45000,64,57,남향,37.549395,127.053802, 투자가치 좋아요 실거주 또는 갭투자 ,"['25년이상', '방세개', '화장실한개']",제일공인중개사사무소
2060742445,1120010200,A01,A1,7/8,148000,109,84,남향,37.56595,127.027393,"금맥2296 8887 판상형,남향추천매매,21년 3월입주가능,에어컨유","['4년이내', '역세권', '대단지', '방세개']",금맥공인중개사사무소
2060742911,1120011000,A01,A1,2/20,128000,110,84,남향,37.550788,127.024398,"33 필로티 윗층, 남향, 올확장, 전세안고 급매","['10년이내', '급매', '필로티', '방세개']",삼성공인중개사사무소
2060739157,1120011000,A01,A1,13/20,140000,85,59,남향,37.550597,127.025283,"25 한강조망, 풀옵션, 특 인테리어, 입주가능 매매","['10년이내', '방세개', '화장실두개']",단지내 래미안공인중개사사무소
2060743437,1120011000,A01,A1,7/20,150000,108,84,남향,37.55107,127.02359,"33 전망 굿, 올확장, 내부 깔끔함, 입주가능 매매","['10년이내', '역세권', '방세개', '화장실두개']",삼성공인중개사사무소
2060760726,1120010200,A01,A1,10/25,123000,88,59,서향,37.565677,127.023942,25p 가성비최강 더블역세권 탁트인조망 확장 입주가능,"['4년이내', '역세권', '대단지']",텐즈공인중개사사무소
2060765045,1120010700,A01,A1,2/12,105000,79,59,남동향,37.555657,127.033603,010 7726 1143 전세 안고 매매.,"['10년이내', '역세권', '방세개', '화장실두개']",서울숲리버뷰자이공인중개사사무소
2060827051,1120010100,A01,A1,7/18,140000,109,84,남향,37.570269,127.025491,전속 33p 급매 정남향 판상형 로얄동 로얄층 전세안은 추천매물,"['10년이내', '역세권', '대단지']",텐즈공인중개사사무소
2060769450,1120010200,A01,A1,22/25,165000,110,84,서향,37.569179,127.028867,2295 6400 에어컨 판상형 청계천뷰,"['10년이내', '대단지', '방세개', '화장실두개']",왕십리금터부동산공인중개사사무소
2060742791,1120011000,A01,A1,3/20,125000,85,59,남향,37.552255,127.024209,"25 남향, 올확장, 에어컨 풀옵션, 입주가능 매매","['10년이내', '역세권', '방세개', '화장실두개']",삼성공인중개사사무소
2060309639,1120010200,A01,A1,11/25,130000,88,59,남향,37.565677,127.023942,"21년3월 입주 협의,햇빛잘드는 남향,확장형,탁트인조망 최고","['4년이내', '역세권', '확장형', '대단지']",투미원부동산중개법인 주식회사
2060499157,1120010200,A01,A1,6/17,92000,74,59,남동향,37.558538,127.025576,"2293  1100, 남동향,  작은방확장, 전체수리, 입주가능합니다.","['25년이내', '역세권', '방세개', '화장실한개']",21세기공인중개사사무소
2060768737,1120010100,D02,A1,1/2,60000,68,29,,37.569363,127.024716,버스정류장앞에 위치한 입지가 좋은 점포,"['10년이내', '1층', '총2층']",왕십리뉴타운부동산
2060802585,1120010200,A01,A1,15/20,140000,112,84,남동향,37.56061,127.024553,"34 올확장, 천정 에어컨, 상태 최상, 입주가능","['4년이내', '방세개', '화장실두개', '고층']",삼성공인중개사사무소
2060807943,1120010400,A03,A1,15/27,93000,106,84,남서향,37.564271,127.034658,2298 3200  정상입주가능 뻥뚫린뷰 교통요지 실내부특A급,"['15년이내', '역세권', '방세개', '화장실두개']",단지내신용공인중개사사무소
2060497377,1120010200,A01,A1,18/18,146000,110,84,동향,37.569109,127.026853,22983200   판상형구조 적은돈으로 내집마련기회 조용한동,"['10년이내', '대단지', '탑층', '방세개']",단지내신용공인중개사사무소
2060598086,1120011300,A01,A1,3/15,145000,83,59,,37.546877,127.012385,세안고매매 l 확트인조망 l 시스템에어컨 l 추천매물,"['4년이내', '역세권', '대단지']",단지내행운공인중개사
2060482245,1120010700,A03,A1,13/42,163000,130,92,남서향,37.557204,127.039854,전망트여있음 남서향 에어컨3대 입주가능,"['10년이내', '역세권', '방세개', '화장실두개']",퍼스트기린공인중개사사무소
2060392730,1120010200,A01,A1,4/8,155000,109,84,,37.566795,127.024676,"입주가능,에어컨O,확장형,선호하는 맞통구조","['4년이내', '역세권', '확장형', '대단지']",투미공인중개사사무소
2060337988,1120010200,D02,A1,1/2,65000,85,42,,37.566109,127.027631,현재성업중.수익률좋은.월세가따박따박.5700배후세대,"['4년이내', '역세권', '1층', '주차가능']",2282-7255센타부동산공인중개사사무소
2060829868,1120011000,A01,A1,10/18,123000,85,59,남서향,37.550436,127.025387,"공동중개가능,완전 탁 트인 개방감 있는 뷰, 올확장, 상태깨끗","['10년이내', '방세개', '화장실두개', '중층']",OK부동산공인
2060833883,1120011200,A01,A1,11/24,108000,79,59,,37.546054,127.019627,"거실,작은방,주방 확장및 수리, 샤시 교체, 아주 상태 좋음.입주가능.","['25년이내', '역세권', '대단지', '방세개']",싸이버부동산타워공인중개사사무소
2060829046,1120010200,A01,A1,17/25,185000,160,129,남향,37.56813,127.029492,48p 입주가능 탁트인 조망 올확장 풀에어컨 컨디션 좋은매물,"['10년이내', '역세권', '대단지']",텐즈공인중개사사무소
2060831923,1120011400,A01,A1,39/47,300000,126,84,남향,37.539078,127.045212,직접.전속매물 38p 한강뷰.제일선호타입.세안고,"['4년이내', '방세개', '화장실두개']",트리마제단지내부동산공인중개사사무소
2060816767,1120011400,A01,A1,3/46,340000,185,136,남향,37.538355,127.044339,56. 직접매물. 입주매매. 가장가격좋은 추천세대,"['4년이내', '대형평수', '방세개']",아크로서울포레스트공인중개사사무소
2060834872,1120011300,A01,A1,15/16,230000,144,115,남향,37.549261,127.01413,O 희귀 로얄물건O 풀옵션 트인공원조망 추천물건,"['4년이내', '역세권', '대단지']",OK파크힐스공인중개사사무소
2060838449,1120011300,A01,A1,7/17,145000,83,59,남동향,37.546824,127.011503,"실입주가능 귀한 매물 , 로얄층, 좋은구조, ","['4년이내', '역세권', '대단지', '방세개']",가나공인중개사사무소
2060812387,1120010200,A01,A1,15/20,140000,112,84,남향,37.561124,127.024691,최고의조망 에어컨3대 전세안고 매매,"['4년이내', '방세개', '화장실두개', '고층']",극동공인중개사
2060831749,1120011400,A01,A1,22/46,320000,189,140,남향,37.538355,127.044339,직접.전속매물 57p 한강뷰.로얄층.입주가능,"['4년이내', '대형평수', '방세개']",트리마제단지내부동산공인중개사사무소
2060830261,1120010200,A01,A1,15/25,190000,179,148,남서향,37.567661,127.029419,주인거주로 직접매물.입주가능.탁트인전망.확장형.에어컨6대.,"['10년이내', '역세권', '확장형', '대단지']",하늘공인중개사사무소
2060834878,1120011300,A01,A1,1/16,230000,144,115,남향,37.549261,127.01413,O 실높이 5층 O 트인조망 O 남동향,"['4년이내', '역세권', '대단지']",OK파크힐스공인중개사사무소
2060823412,1120011400,A01,A1,8/47,150000,53,35,남향,37.539078,127.045212,16 . 한강뷰 . 전세안고매매 . 갭투자 추천 .,"['4년이내', '소형평수', '방한개']",아크로서울포레스트공인중개사사무소
2060813140,1120010200,A01,A1,1/23,73000,89,59,동향,37.558554,127.023176, 거실확장 아이키우기좋은1층 급매물,"['25년이내', '역세권', '1층', '급매']",극동공인중개사
2060811434,1120010200,A01,A1,5/20,135000,112,84,남동향,37.561647,127.024883,전체확장형 에어컨4대추천매물 빠른입주 가능함,"['4년이내', '역세권', '확장형', '방세개']",극동공인중개사
2060829873,1120010200,A01,A1,19/28,135000,83,59,남동향,37.565259,127.028898,2299.1155. 확장형 25p 에어컨 전세안고매매 상왕십리역연결동,"['4년이내', '역세권', '확장형', '대단지']",뉴태양부동산공인중개사사무소
2060827314,1120010200,A01,A1,4/25,125000,87,59,남향,37.565677,127.023942,"26p더블역세권 정남향 , 에어컨3,  입주협의","['4년이내', '역세권', '대단지']",텐즈공인중개사사무소
2060834876,1120011300,A01,A1,4/16,145000,83,59,남향,37.548959,127.013602,,"['4년이내', '역세권', '대단지']",OK파크힐스공인중개사사무소
2060791636,1120011300,A01,A1,4/18,163000,107,84,남향,37.548757,127.013085,조용한동 l 선호타입 l 시스템에어컨 l 추천매물,"['4년이내', '역세권', '대단지', '방세개']",단지내e편한
2060791581,1120011400,A01,A1,2/46,310000,189,140,,37.538151,127.044793,집주인확인. 직접매물. 갭투자. 층간소음걱정없는2층,"['4년이내', '필로티', '대형평수']",아크로서울포레스트공인중개사사무소
2060794120,1120010200,A01,A1,16/20,140000,112,84,,37.56061,127.024553,에어컨 실입주 로얄동 로얄층 조용하고 살기 좋아요,"['4년이내', '방세개', '화장실두개', '고층']",코끼리공인중개사사무소
2060788282,1120010700,A01,A1,6/15,110000,102,84,남향,37.554368,127.03242,"32p.귀한매매.확장올수리컨디션 굿, 강남입출입교통편리","['25년이상', '올수리', '역세권', '방세개']",신세계공인중개사사무소
2060804417,1120010200,A01,A1,13/23,130000,141,114,남향,37.558,127.02334,남향 최근올수리 공원조망권 입주협의,"['25년이내', '올수리', '역세권', '대형평수']",극동공인중개사
2060808585,1120010200,A01,A1,6/20,120000,81,59,남동향,37.561124,127.024691,로얄동 판상형구조 입주정상  추천급매물,"['4년이내', '급매', '방세개', '화장실두개']",극동공인중개사
2060793553,1120010800,A01,A1,5/15,115000,103,75,남향,37.552347,127.033114,"조망굿 밝고 깨끗함 초,중단지인접 교통편리함","['25년이상', '역세권', '방세개', '화장실한개']",대림부동산랜드공인중개사
2060809826,1120010700,A01,A1,13/15,125000,134,114,남서향,37.5546,127.033176,정상입주 올수리,"['25년이상', '올수리', '역세권', '대형평수']",성공공인중개사사무소
2060794351,1120010800,A01,A1,4/13,90000,81,59,남동향,37.553507,127.03285,정상입주 특올수리 깨끗한 집,"['25년이상', '올수리', '역세권', '방두개']",성공공인중개사사무소
2060786615,1120010800,A01,A1,12/14,95000,104,79,남향,37.55122,127.03189,"32p.귀한매물, 전망굿,교통편리","['25년이상', '역세권', '방세개', '화장실한개']",신세계공인중개사사무소
