atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060369469,1129013800,A01,A1,11/21,110000,149,122,남동향,37.621383,127.046233,"실입주 가능, 가격협의가능, 경전철 수혜지역 귀한대형평수 전화주세요","['15년이내', '대형평수', '방네개이상']",퍼스트1번지공인중개사사무소
2060338574,1129013800,C02,A1,2/5,24500,38,32,남동향,37.616922,127.044056,북서울꿈의숲 인근 가격 좋고 구조 좋은 신축빌라,"['2년이내', '화장실한개', '소형평수']",마이하우징공인중개사사무소
2060097409,1129011500,C02,A1,3/6,39500,53,42,북서향,37.588778,127.013876,성북구청 인근 교통 좋고 교육여건 좋은 2개동 신축빌라,"['2년이내', '역세권', '화장실두개']",마이하우징공인중개사사무소
2059902881,1129013300,C02,A1,3/5,33500,57,50,동향,37.608961,127.012508,정릉역역세권 내부구조 좋고 인테리어 좋은 2개동 신축빌라,"['2년이내', '화장실두개', '소형평수']",마이하우징공인중개사사무소
2059066070,1129013900,C02,A1,5/6,28000,33,27,북동향,37.606915,127.051293,역세권의 구조 좋고 인테리어 좋은 신축빌라,"['2년이내', '역세권', '화장실한개']",마이하우징공인중개사사무소
2059578750,1129013500,C02,A1,2/5,22000,53,48,북동향,37.602155,127.031072,"종암경찰서뒤,등기상전용15p ,추후 동북선역세권,엘베없는2층 현 공실","['10년이내', '소형평수', '방두개']",우리(953-1116)공인중개사사무소
2059611144,1129013900,D03,A1,3/-1,132000,102,199,,37.60971,127.057331,"돌곶이역세권 2019년신축 주인세대입주가능한곳 신축이며 대지50p원룸,","['역세권', '관리비10만원이하']",양평처음처럼부동산공인중개사
2059664730,1129013500,C02,A1,3/6,28000,34,29,북향,37.597326,127.035897,서울중앙병원 인근 내부구조 너무 좋은 신축빌라,"['2년이내', '화장실한개', '소형평수']",마이하우징공인중개사사무소
2059614077,1129013700,D03,A1,5/0,175000,141,257,,37.606845,127.043511,"원룸 1.5룸 2룸으로 신축이며 지하없는 구조이며 5층,만실,대학교바로앞","['역세권', '관리비10만원이하']",양평처음처럼부동산공인중개사
2059613084,1129013700,D03,A1,5/0,150000,104,206,,37.606762,127.043525,"초 역세권,대학교정문입구에,원룸과1.5룸으로 2019년 신축이며 만실임","['역세권', '관리비10만원이하']",양평처음처럼부동산공인중개사
2059586111,1129013900,D03,A1,5/0,170000,141,281,,37.613047,127.064183,"투룸1개 1.5룸2개 원룸10개인 더블역세권의 5층건물임.임대완료,위치굿","['역세권', '관리비10만원이하']",양평처음처럼부동산공인중개사
2059586652,1129013900,D03,A1,7/0,175000,119,329,,37.61279,127.061988,"초역세권,준주거지역,EV있는집,풀 옵션신축이며 임대완료인 7층물건","['역세권', '관리비10만원이하']",양평처음처럼부동산공인중개사
2060832758,1129013600,A01,A1,19/20,94500,140,114,남향,37.60699,127.03725,파워 917.6565ㅣ42Pㅣ남향ㅣ빠른입주가능ㅣ미리내부공사가능ㅣ급매,"['25년이내', '대단지', '급매', '대형평수']",파워(단지내)공인중개사사무소
2059461818,1129013500,C03,A1,3/-1,190000,175,329,,37.595634,127.0372,동북전철개통후 향후투자가치 통매매,"['4년이내', '화장실네개이상', '방네개이상']",단지내아이클래스공인중개사사무소
2060768694,1129013600,A01,A1,12/20,85000,109,84,남향,37.6073,127.03948,단지내믿음913.5600 33p 냠향 깨끗 입주가능,"['25년이내', '대단지', '방세개']",믿음공인중개사사무소
2060743999,1129013600,A01,A1,18/20,105000,140,114,남향,37.60669,127.03953,파워 917.6565ㅣ42Pㅣ특올수리ㅣ남향ㅣ로얄동ㅣ로얄층ㅣ최고의집ㅣ추천,"['25년이내', '올수리', '대단지', '대형평수']",파워(단지내)공인중개사사무소
