atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060094896,1171010100,C02,A1,5/8,31800,21,17,남향,37.505348,127.087338,구조 좋고 전망 좋은 고층 신축빌라,"['2년이내', '역세권', '화장실한개']",마이하우징공인중개사사무소
2059879097,1171010600,C02,A1,3/8,31300,25,18,남동향,37.500837,127.096607,초역세권 신축 복층형 원룸 풀옵션 갭투자 가능옥상정원,"['2년이내', '역세권', '화장실한개']",(주)한가부동산중개법인
2059878823,1171010600,C02,A1,3/8,31300,25,18,남서향,37.500837,127.096607,초역세권 신축 풀옵션 갭투자 가능옥상정원,"['역세권', '화장실한개', '소형평수']",(주)한가부동산중개법인
2059806863,1171010200,A02,A1,51/70,490320,490,192,남향,37.512847,127.102637,F타입 가장좋은가격 프로모션중 시티뷰,"['4년이내', '역세권', '대형평수']",청담자이입점공인중개사사무소
2059930053,1171010200,A02,A1,48/70,498060,496,188,남향,37.512847,127.102637,"호수 시티뷰, 관리비 2년지원, 계약자특전","['4년이내', '역세권', '대형평수']",애플공인중개사사무소
2059846777,1171011200,C02,A1,5/6,47000,59,51,북서향,37.502716,127.137554,개롱역 역세권 내부구조 좋고 인테리어 좋은 신축빌라,"['2년이내', '화장실두개', '소형평수']",마이하우징공인중개사사무소
2059799050,1171010200,A02,A1,45/70,573570,523,204,북동향,37.512847,127.102637,반듯한타입  한강뷰 시그니엘 프로모션 매매,"['4년이내', '역세권', '대형평수']",(주)오클하임부동산중개법인
2059822062,1171010200,A02,A1,61/70,743850,642,248,남서향,37.512847,127.102637,대한민국 원탑 오피스텔 상위0.1만 누릴수있는 혜택,"['4년이내', '역세권', '대형평수']",삼정부동산중개
2059709095,1171011100,C02,A1,5/6,40000,37,29,남동향,37.513003,127.113299,신축빌라전문 송파나루역도보3분 트리플역세권 최고급자제 주변인프라최상,"['역세권', '화장실한개', '소형평수']",서강공인중개사사무소
2059199122,1171010600,C02,A1,4/8,31200,25,18,,37.500837,127.096607,"현대차GBC,잠실MICE 개발확정호재 수혜지역,9호선 초역세1분","['역세권', '화장실한개', '소형평수']",(주)부동산중개법인한가 분사무소
2059273379,1171010200,A02,A1,47/70,482670,488,191,남향,37.512847,127.102637,90F 시그니엘 레지던스,"['4년이내', '역세권', '대형평수']",미르공인중개사사무소
2060788151,1171011100,A03,A1,13/18,50000,77,56,남향,37.514943,127.114601,9호선 역세권 입주가능 지하주차장,"['25년이내', '역세권', '방한개', '화장실한개']",현대공인중개사사무소
2059201054,1171010600,C02,A1,4/8,31300,25,18,남동향,37.500837,127.096607,O구해줘홈즈가선택한집O틈새시장소액투자오피스텔,"['역세권', '화장실한개', '소형평수']",(주)부동산중개법인한가 분사무소
2060771884,1171011300,A01,A1,12/15,98000,104,84,남서향,37.49709,127.14523,,"['25년이상', '역세권', '방세개', '화장실두개']",위례하나공인중개사사무소
2059195357,1171010600,C02,A1,5/8,31500,25,18,,37.500837,127.096607,"남동향로얄뷰,잠실권초역세,소액투자해서큰돈벌어가세요","['역세권', '화장실한개', '소형평수']",(주)부동산중개법인한가 분사무소
2060728268,1171010700,A01,A1,20/23,135000,110,84,동향,37.494935,127.127209,"전망,부분확장수리,가주초,송파중,3호선경찰병원역","['25년이내', '역세권', '대단지', '방세개']",대웅공인중개사사무소
2060727975,1171010700,A01,A1,3/24,125000,81,59,남향,37.496268,127.12716,"남향,전망,부분확장수리,가주초,송파중,3호선경찰병원역 ","['25년이내', '역세권', '대단지', '방세개']",대웅공인중개사사무소
2059201842,1171010600,C02,A1,4/8,31200,25,18,남동향,37.500837,127.096607,"실입주,갭투자추천 잠실권 소액투자,황금노선9, 2호선 초역세","['역세권', '화장실한개', '소형평수']",(주)부동산중개법인한가 분사무소
2059220998,1171010600,A02,A1,4/6,31300,31,18,남동향,37.500912,127.096626,석촌고분역 초역세권 도보 1분 거리에 위치한 복층형 원룸 오피스텔,"['2년이내', '역세권', '복층']",성창수공인중개사사무소
2060620988,1171010300,A01,A1,10/18,120000,104,84,북서향,37.537,127.11464,로얄층 북한산 워커힐 한강이 한눈에 짝.,"['25년이상', '방세개', '화장실두개', '중층']",참조은(단지내)공인
2059075839,1171010100,C02,A1,6/8,31800,21,17,북향,37.505348,127.087338,"황금노선 9호선 삼전역 1분, 소액갭투자 추천","['역세권', '소형평수', '방한개']",(주)부동산중개법인한가 분사무소
2059032883,1171010600,C02,A1,2/6,35000,33,26,남향,37.499312,127.094059,"2룸, 소액갭투자 가능한 신축 풀옵션, 9호선 역세권","['25년이상', '역세권', '화장실한개']",(주)부동산중개법인한가 분사무소
2058857112,1171010600,C02,A1,6/8,31200,25,18,남동향,37.500837,127.096607,가장 핫한 잠실의 신축 복층형 원룸 초초 역세권 강추매물,"['2년이내', '역세권', '화장실한개']",(주)한가부동산중개법인
2058718474,1171010800,D02,A1,2/15,620000,1406,884,,37.480774,127.121257,공실없는 안정적인 수익율의 2층 상가 매각,"['10년이내', '역세권', '엘리베이터']",(주)이알에이코리아부동산중개법인
2059039095,1171010600,C02,A1,4/6,35500,37,29,남향,37.499312,127.094059,"9호선석촌고분역5분, 사이즈 넉넉한 풀옵션 2룸 신축","['25년이상', '역세권', '화장실한개']",(주)부동산중개법인한가 분사무소
2058716485,1171010800,D02,A1,1/15,550000,521,332,,37.480774,127.121257,공실없는 대로변 1층 구분상가 매각,"['10년이내', '역세권', '1층']",(주)이알에이코리아부동산중개법인
2060355727,1171011300,A01,A1,2/18,73000,85,59,동향,37.493006,127.141921,"역세권아파트 지하1,2층 주차장 승강기 연결되며 주차여유 있슴","['25년이내', '역세권', '방세개', '화장실한개']",우방공인
2060521719,1171010700,A01,A1,14/23,129000,108,84,남서향,37.501188,127.122284,"전망,채광 좋은 로얄동 로얄층 입주가능,신가초,석촌중 인접","['25년이내', '방세개', '화장실두개']",덕수공인중개사사무소
2060575722,1171011200,A01,A1,7/15,100000,101,84,남향,37.502596,127.136055,"BEST 5호라인, 로얄층, 현재 리모델링 이주중.","['25년이상', '방세개', '화장실두개', '중층']",아남성신공인중개사
2060731132,1171010500,C02,A1,6/6,320000,500,413,남향,37.501053,127.099081,FOCUS 실투자금 7억대 9호선 역세권도보2분 무조건 사야할 통매매 ,"['4년이내', '역세권', '화장실네개이상']",바른부동산중개
2060739392,1171010500,A01,A1,3/21,53000,61,33,북향,37.506555,127.100381,석촌호수 뷰 1룸1거실 복층 풀옵션 희소가치 있는 아파트 급매,"['10년이내', '복층', '급매']",롯데월드공인중개사사무소
2060819705,1171010800,A02,A1,13/14,22000,32,21,북서향,37.483275,127.122457,프라비다 D 타입의 귀한 매물입니다. 매우 저렴하게 나왔습니다.,"['4년이내', '테라스', '역세권']",다인부동산공인중개사사무소
2060738857,1171010300,A01,A1,2/17,105000,104,84,남서향,37.53679,127.11537,"특올수리, 입주가능","['25년이상', '올수리', '방세개', '화장실두개']",한강공인중개사사무소
2060757968,1171010800,A02,A1,4/19,23500,52,27,남향,37.481277,127.123829,"테라스있는 남향 호실, 21.10월이후 입주가능","['4년이내', '테라스', '역세권']",(주)부동산중개법인파트너스
2060807272,1171010700,A01,A1,13/26,114000,81,59,남서향,37.496129,127.116949,"올수리,세끼고 매매","['25년이내', '올수리', '역세권', '방세개']",제일공인중개사사무소
2060821103,1171010800,A02,A1,13/14,22500,33,21,남동향,37.483275,127.122457,,"['4년이내', '테라스', '역세권']",다인부동산공인중개사사무소
2060742941,1171010700,A03,A1,10/24,105000,160,128,북동향,37.495186,127.120541,더블 역세권 다양한 편의시설 여유있는 주차,"['15년이내', '역세권', '대형평수', '방세개']",삼성공인중개사사무소
