atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060342279,1147010300,C02,A1,5/6,22000,46,36,,37.523651,126.83836,신축급 엘베있는 넓은 쓰리룸 매매,"['10년이내', '소형평수', '방세개']",신세계공인중개사사무소
2059723280,1147010100,C02,A1,4/8,30000,37,25,동향,37.521939,126.853058,신축투룸 풀옵 더블역세권 신혼부부강력추천,"['역세권', '소형평수', '방두개']",서강공인중개사사무소
2059686670,1147010200,C02,A1,4/11,38000,56,41,,37.546599,126.870694,실매물 쓱 와서 쓱 보면 쓱 계약할집 서두르세요,"['2년이내', '역세권', '화장실한개']",더조은부동산공인중개사사무소
2059441723,1147010200,C02,A1,3/6,30400,34,29,동향,37.532509,126.865668,목동역이용가능 구해줘홈즈 나온바로 그집 최고급인테리어 ,"['2년이내', '화장실한개', '소형평수']",더조은부동산공인중개사사무소
2059411365,1147010100,D03,A1,6/-1,1700000,840,3175,,37.525431,126.860713,"건물주 직접 의뢰, 명도가능, 사옥추천 ",['역세권'],마곡지웰부동산중개사무소
2060740400,1147010100,A01,A1,8/20,121000,75,54,남향,37.521615,126.86726,02 2647 9700.2년전특올수리.20형.입주가능.서정초.목동중.강추,"['25년이상', '올수리', '대단지', '방두개']",로얄공인중개사사무소
2060746592,1147010100,A01,A1,11/21,135000,77,59,남향,37.520554,126.856278,23매매 ,"['10년이내', '역세권', '대단지', '방세개']",목동현대힐스테이트공인중개사사무소
2060745858,1147010100,A01,A1,14/21,140000,77,59,남향,37.520554,126.856278,23 최고 로얄동 로얄층 입주가능,"['10년이내', '역세권', '대단지', '방세개']",목동현대힐스테이트공인중개사사무소
2060746305,1147010100,A01,A1,13/16,140000,77,59,남향,37.52071,126.857272,23매매 남향 입주가능 집 상태 너무 깨끗 ,"['10년이내', '역세권', '대단지', '방세개']",목동현대힐스테이트공인중개사사무소
2060798001,1147010100,A01,A1,11/19,168000,109,84,남향,37.520072,126.856297,33매매 남향 A타입 입주가능 ,"['10년이내', '역세권', '대단지', '방세개']",목동그린공인중개사사무소
2060753976,1147010100,A01,A1,12/13,140000,77,59,남향,37.520148,126.857935,"23매매,정남향,에3대,입주가능","['10년이내', '역세권', '대단지', '방세개']",힐스테이트공인중개사
2058996304,1147010100,C02,A1,2/4,24000,51,43,,37.527143,126.852719,신정역인근 교통 좋고 위치 좋은 넒은 리모델링 쓰리룸,"['25년이내', '역세권', '소형평수']",다온공인중개사사무소
2060756440,1147010100,A01,A1,7/18,170000,109,84,남향,37.519857,126.854708,33매매 남향 입주가능 에어컨5 풀옵션,"['10년이내', '역세권', '대단지', '방세개']",목동그린공인중개사사무소
2060763499,1147010100,A01,A1,5/16,140000,77,59,남향,37.52071,126.857272,23매매 전세안고 투자 에어컨4  풀옵션 ,"['10년이내', '역세권', '대단지', '방세개']",목동그린공인중개사사무소
2060753910,1147010100,A01,A1,3/18,168000,109,84,남향,37.519857,126.854708,"33매매,조경뷰너무 예뻐요,로얄동","['10년이내', '역세권', '대단지', '방세개']",힐스테이트공인중개사
2060754568,1147010100,A01,A1,16/22,170000,109,84,남동향,37.520586,126.855805,"33매매,21년1월입주가능,에어컨,집상태너무 좋아요","['10년이내', '역세권', '대단지', '방세개']",힐스테이트부동산
2060639187,1147010100,A01,A1,3/15,153000,94,71,남향,37.51846,126.86112,"02.2652.3004확장올수리,신서초중,구조변경되어 방확장한집","['25년이상', '올수리', '대단지', '방세개']",둥지공인중개사사무소
