atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060364057,1156012500,C02,A1,9/9,45300,30,22,,37.524052,126.888455,투룸투룸복층 두집에 한번에거주,"['역세권', '화장실두개', '소형평수']",주식회사부동산중개법인황금
2060276122,1156013200,C02,A1,4/15,23000,22,15,북동향,37.513183,126.921877,더블역세 큰길가 원룸오피 투자,"['역세권', '화장실한개', '소형평수']",(주) 부동산중개법인황금
2060107893,1156013200,B01,A1,6/14,125000,80,59,남향,37.502837,126.912774,"T 833.2008  대방초,신길중 조경 커뮤니트시설 좋아 살기좋은아파트","['2년이내', '역세권', '방세개']",수공인중개사사무소
2059796008,1156013200,B01,A1,13/29,155000,112,84,남향,37.503296,126.910961, 판상형  LUXERY 인테리어 집주인의뢰  전세안고,"['2년이내', '역세권', '대단지']",유원베스트공인중개사사무소
2059619474,1156013200,B01,A1,23/29,123000,85,59,남향,37.504197,126.912606,"25.조합원옵션.실제매물.로얄동으로학군,채광좋음.","['2년이내', '대단지', '방세개']",New드림공인중개사사무소
2060743453,1156013300,A01,A1,17/30,125000,185,140,,37.505684,126.894781,56 올수리 채광조망굿 신안산선수혜 신도림역세권 입주협의,"['25년이내', '올수리', '역세권']",미래공인중개사사무소
2058981193,1156013200,B01,A1,20/29,155000,112,84,남향,37.503296,126.910961,836 7890 에어컨4 조합원풀옵션 로얄동호수 최고전망 투자타이밍,"['2년이내', '역세권', '대단지']",신길타임공인중개사사무소
2060744217,1156013200,A01,A1,4/7,120000,82,59,남향,37.504857,126.906521,로얄동 트리플공원뷰 남향,"['10년이내', '방세개', '화장실두개']",오렌지공인중개사사무소
2060606018,1156013200,A01,A1,14/16,118000,82,59,남서향,37.50515,126.906087,T834 4989 확트인뷰 주인거주 에2 조합원옵션,"['10년이내', '방세개', '화장실두개']",래미안오케이공인중개사사무소
2060763041,1156012700,A01,A1,10/25,103000,102,84,남향,37.531757,126.893446,"남향, 상태굿. 협의","['25년이내', '방세개', '화장실두개', '중층']",당산현대공인중개사사무소
2060631067,1156012700,A02,A1,18/20,65000,124,85,남서향,37.526892,126.886775,"02.2068.8545 양평역 2분 세안고,전망좋은 주거 전용오피스텔","['25년이내', '역세권', '방세개', '화장실두개']",믿음공인중개사사무소
2059445232,1156013000,A02,A1,3/12,29800,40,27,서향,37.542805,126.888855,한강변 오피스텔 큰방2 넓은 거실 선유도역 인근 위치 너무좋아요,"['2년이내', '화장실한개', '소형평수']",더조은부동산공인중개사사무소
2059118474,1156012800,C02,A1,4/9,36000,42,34,북향,37.53854,126.896477,소액투자 갭3000가능 신축투룸 오피스텔,"['2년이내', '역세권', '화장실한개']",믿음공인중개사사무소
2060514356,1156011800,A01,A1,31/31,126000,109,84,남향,37.511081,126.89952,영등포호재가득.최고의전망.전실시스템에어컨.거실대리석.붙박이장.투자로추천,"['10년이내', '탑층', '방세개', '화장실두개']",동성공인중개사사무소
2060824580,1156013200,A01,A1,16/18,123000,82,59,동향,37.500329,126.9119,25p.판상형.전망트인.귀한매물.세안고.,"['4년이내', '역세권', '대단지']",복부동산공인중개사사무소
2060836430,1156013200,A01,A1,14/19,97000,141,114,남향,37.50712,126.91476,V 탁트인 전망 집상태 깨끗 입주 협의,"['25년이내', '대단지', '대형평수', '방네개이상']",승리부동산공인중개사무소
