atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060136470,1117013000,C02,A1,5/5,128000,78,56,북동향,37.538018,126.991526,환상의 남산 뷰 더 큐브 남산 펜트 세대,"['2년이내', '역세권', '탑층']",더랜드마크부동산중개법인
2060136339,1117013000,C02,A1,3/5,59000,69,51,북동향,37.538018,126.991526,더 큐브 남산 중 2인 거주 가능한 테라스 세대입니다,"['2년이내', '테라스', '역세권']",더랜드마크부동산중개법인
2060136264,1117013000,C02,A1,4/5,55000,55,40,북동향,37.538018,126.991526,더 큐브 남산 테라스 세대중 가장 뛰어난 조망을 자랑합니다,"['2년이내', '테라스', '역세권']",더랜드마크부동산중개법인
2060618522,1117012500,A03,A1,8/33,135000,109,84,,37.531915,126.969724,임대승계 용산위치 좋은아파트,"['25년이내', '역세권', '방세개', '화장실두개']",나라공인중개사사무소
2060721339,1117012500,A03,A1,40/40,700000,312,240,,37.52877,126.966166,"래미안 최고급 펜트하우스 실매물, 실입주가능","['4년이내', '역세권', '대형평수']",큰부자공인중개사사무소
2060786887,1117012500,A02,A1,27/39,71000,115,46,남향,37.527453,126.965328,전용14 소액투자 초강추매매 지금투자하세요,"['4년이내', '역세권', '방한개', '화장실한개']",히트공인중개사사무소
2060348818,1117011500,A01,A1,4/12,80000,80,59,남향,37.535962,126.950433,올리모델링  탁트인 남향   협의,"['25년이내', '방세개', '화장실한개', '주차가능']",굿모닝부동산공인중개사사무소
2060815234,1117012500,A01,A1,8/24,138000,102,84,동향,37.534313,126.970868,입주되고 조망좋은 중층으로 넓고 깨끗합니다.,"['15년이내', '역세권', '방세개', '화장실두개']",연세공인중개사사무소
2060815812,1117012500,A01,A1,4/24,134000,102,84,남향,37.534313,126.970868,투자가치 좋은 일반 아파트 입니다.,"['15년이내', '역세권', '방세개', '화장실두개']",연세공인중개사사무소
2060814005,1117012000,A01,A1,13/22,107000,81,59,,37.538647,126.954401,입주가능해요 집상태  인테리어 되어 있어서  깨끗하고 좋아요,"['25년이내', '역세권', '대단지']",코리아나공인중개사사무소
2058860756,1117012200,A02,A1,9/12,15500,37,18,북동향,37.536735,126.969658,최저가 급매로 즉시입주  주차가능 ,"['10년이내', '역세권', '급매']",용산명가공인중개사무소
2060050535,1117010700,A03,A1,중/35,169000,185,149,남향,37.550969,126.973502,"도심전망 최고, 실입주 가능한 직주근접 럭셔리 주상복합 ","['10년이내', '역세권', '대형평수']",아스테리움공인중개사사무소
2060745657,1117012200,A02,A1,3/8,33000,76,32,남향,37.537654,126.96874,실입주 및 세안고 매매 가능,"['10년이내', '역세권', '방한개', '화장실한개']",파크공인중개사사무소
2060751335,1117010100,C02,A1,3/4,105000,116,75,동향,37.548498,126.974941,"후암동 특별계획구역 획지 4, 서울역, 숙대입구역 도보67분, 주차가능","['25년이내', '역세권', '방세개', '화장실두개']",반포자이베스트공인중개사
2060763254,1117010800,C02,A1,2/6,34000,30,27,,37.552859,126.966584,"관리 412번,실투자1.7억,구역내 2종지","['15년이내', '역세권', '소형평수', '방한개']",위트공인중개사사무소
2060820971,1117010100,C03,A1,2/0,85000,47,67,,37.549275,126.976382,서울의 중심 미래투자가치 초강추매매,[],히트공인중개사사무소
2060774029,1117011200,A03,A1,20/36,210000,194,142,남향,37.540471,126.970228,입주가능 천연대리석으로 올수리함 ,"['10년이내', '올수리', '역세권']",럭키공인중개사사무소
2060755922,1117011900,A01,A1,4/18,128000,77,59,남동향,37.540094,126.959099,입주가능 효창공원역3분 상태최상,"['15년이내', '역세권', '방세개', '화장실두개']",대림공인중개사사무소
2060764474,1117013100,C02,A1,-1/3,185000,52,52,남동향,37.532061,127.003495,한남3구역 주인직접 귀한 매물 꼭 팔아요 빨리 전화주세요,"['소형평수', '방두개', '화장실한개', '총3층']",88공인중개사사무소
2060739676,1117012500,A03,A1,17/37,220000,142,112,남서향,37.527026,126.964903,43 주인거주관리 신축급 실거주겸투자로 최고물건,"['4년이내', '역세권', '대형평수']",해링턴공인중개사사무소
2060564142,1117011500,A01,A1,10/14,84500,80,59,남향,37.535956,126.950705,"추천매물,한강뷰,전망굿,남향,올수리","['25년이내', '올수리', '방세개', '화장실한개']",이화공인중개사사무소
