atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060320840,1138010700,C02,A1,5/6,33500,54,45,동향,37.593078,126.917359,새절역 인근 구조좋은 쓰리룸 매매,"['10년이내', '역세권', '소형평수']",나비공인중개사사무소
2059817443,1138010800,C02,A1,3/6,21500,37,29,,37.603588,126.909164,역촌동 준신축급 2룸 매매,"['10년이내', '화장실한개', '소형평수']",다온공인중개사사무소
2059674869,1138010300,C02,A1,1/4,21800,50,40,북서향,37.627083,126.924761,급매 공실 가성비좋은 방3 욕실2 엘리베이터설치 무인택배함 주차가능,"['10년이내', '테라스', '1층']",신동양공인중개사
2059612686,1138010100,C03,A1,1/-1,79000,134,85,남향,37.58655,126.889756,,"['25년이상', '마당', '방세개']",수색역부동산공인중개사사무소
2058997676,1138010300,C02,A1,4/5,37000,80,73,남향,37.620252,126.933312,독바위 초역세권 매매 주변 환경권 좋습니다.,"['25년이내', '역세권', '방세개']",경남(정문앞)공인중개사사무소
2059432910,1138010600,C02,A1,8/10,29900,33,26,남동향,37.609383,126.926464,분양중,"['2년이내', '역세권', '소형평수']",더조은부동산공인중개사사무소
2059447926,1138010800,C02,A1,5/5,34600,62,53,,37.605741,126.909983,실매물 쓱 와서 쓱 보면 쓱 계약할집 서두르세요,"['2년이내', '테라스', '화장실한개']",더조은부동산공인중개사사무소
2060740646,1138010700,A01,A1,19/22,90000,83,59,남향,37.594385,126.922289,"즉시입주가, 갭투자가능. 전망좋아요","['2년이내', '대단지', '방세개']",굿모닝부동산
2060658345,1138010800,C02,A1,3/5,19000,42,33,,37.605568,126.92105,역촌역도보3분 방2화1거실1 주인거주중,"['10년이내', '역세권', '화장실한개']",-
2059432568,1138010600,C02,A1,10/10,43000,50,40,남동향,37.609383,126.926464,분양중,"['2년이내', '역세권', '화장실두개']",더조은부동산공인중개사사무소
2060493157,1138011000,A03,A1,6/19,120000,138,115,남향,37.578506,126.899569,소액갭투자 저희 사무소는자이건물 이마트1층위치 입주협의가능,"['15년이내', '역세권', '대형평수', '방세개']",참마음공인중개사무소
2060537001,1138010300,C02,A1,2/5,17000,33,33,북동향,37.626048,126.923323,연신내역 근처 신축 투룸,"['10년이내', '화장실한개', '소형평수']",-
2060793627,1138010600,C02,A1,4/5,16000,21,15,남향,37.611737,126.921471," 연신내역 2015년식 투룸 매매, 남향 입주가능","['10년이내', '역세권', '소형평수']",한남공인중개사사무소
2060509671,1138011400,A02,A1,8/14,16500,51,18,,37.639254,126.917076,초역세권의 복층 원룸 .수납할수 있는 붙박이장.높은층고와 앞이 트인 조망,"['4년이내', '역세권', '복층', '소형평수']",해원공인중개사사무소
2060159224,1138011400,A01,A1,고/10,93000,104,84,남향,37.644533,126.91914,34 준역세권 입주가능 은빛초배정,"['15년이내', '방세개', '화장실두개']",88공인중개사사무소
2060837120,1138010200,A01,A1,11/20,130000,116,84,,37.603717,126.935948,"지하철3분,에어컨4대,중문,주인거주","['2년이내', '역세권', '대단지', '방세개']",소망(단지내)공인중개사사무소
2060827821,1138011400,A03,A1,5/20,74000,84,59,남동향,37.639595,126.919359,"입주3년차,판상형구조,구파발역세권으로 입주가능합니다.","['4년이내', '역세권', '방세개']",신한공인중개사사무소
2060833359,1138011400,A03,A1,19/20,75000,84,59,,37.639305,126.919299,"역세권,3년차 신축급 고층남향,","['4년이내', '역세권', '방세개']",굿모닝공인중개사사무소
2060830728,1138011400,A03,A1,13/16,46000,58,39,,37.639489,126.918318,초역세권의 구조좋은 집.안방에 붙박이장. 확트이는 개방감과 조망굿.방2,"['4년이내', '역세권', '소형평수', '방두개']",해원공인중개사사무소
2060832201,1138011400,A01,A1,19/19,130000,209,167,남향,37.632573,126.927561,전용167㎡ 역세권 최고의 로얄아파트.북한산 파노라마조망.탑층.집상태최상,"['15년이내', '대형평수', '탑층', '방네개이상']",중원부동산공인중개사사무소
2060792606,1138010700,A03,A1,5/7,32000,57,48,,37.596363,126.915975,응암역5분 주인거주해서 내부는 깨끗해요. 방3화1,"['25년이내', '역세권', '소형평수']",리치공인중개사사무소
2060827628,1138011400,A01,A1,2/9,115000,203,166,남향,37.644045,126.918931,"남향, 거실 단지내 조경, 방5개구조,입주가능합니다.","['15년이내', '대형평수', '방네개이상', '화장실두개']",신한공인중개사사무소
2060779751,1138010200,A01,A1,14/20,126000,112,84,남서향,37.601696,126.936917,초역세권 녹번역1분. 입주2년차 새아파트 입주가능,"['2년이내', '역세권', '방세개', '화장실두개']",녹번역스타부동산공인중개사사무소
2060779683,1138010300,A01,A1,5/15,105000,167,129,남동향,37.618377,126.936,힐스3차 매매 북한산에 접해있어 환경권 접근성 좋습니다.,"['15년이내', '역세권', '대단지']",경남(정문앞)공인중개사사무소
2060783677,1138010200,A01,A1,13/20,100000,80,59,남서향,37.601572,126.935944,녹번역2분 입주2년차 새아파트.상태양호.,"['2년이내', '역세권', '방세개', '화장실두개']",녹번역스타부동산공인중개사사무소
2060796152,1138010700,A01,A1,7/7,31000,70,61,남향,37.59374,126.92274,"햇살가득남향, 넓고깨끗3룸.욕1, 전망굿, 엘베유, 일렬주차편리","['10년이내', '탑층', '방두개']",백련산바른공인중개사사무소
2060804309,1138010200,A01,A1,6/19,91000,82,59,,37.605771,126.936916,"입구동,에어컨,붙박이장,고급블라인드","['10년이내', '대단지', '방세개', '화장실두개']",소망(단지내)공인중개사사무소
2060779955,1138010300,A01,A1,1/12,75000,79,59,남향,37.611458,126.93808,"올확장, 지대가 높아서 밝고 해잘들어요","['15년이내', '1층', '방세개', '화장실두개']",연세공인중개사사무소
2060808933,1138011400,A01,A1,14/33,125000,118,84,남서향,37.634931,126.917599,"주인거주,관리잘된집,초역세권,산뷰,시스템에어컨,led,중문,화이트인테리어","['2년이내', '역세권', '방세개', '화장실두개']",자이탑부동산공인중개사사무소
2060827419,1138011400,A03,A1,10/16,46000,63,42,,37.639489,126.918318,"구파발초역세권 투룸아파트, 3.4세안고 내년 2월입주가능해요.","['4년이내', '역세권', '방두개']",신한공인중개사사무소
2060796872,1138010700,A03,A1,10/10,38000,56,45,동향,37.594576,126.91864,입주가능한 은평구 위치좋은 나홀로 아파트,"['10년이내', '소형평수', '탑층', '방두개']",두나루공인중개사사무소
2060796209,1138010700,A01,A1,11/19,105000,114,84,남향,37.59592,126.921645,두근두근  다시 없을 귀한 매물 첫입주,"['2년이내', '방세개', '화장실두개']",두나루공인중개사사무소
2060804775,1138011400,A02,A1,9/9,16500,61,29,북향,37.632849,126.91838,"복층, 넓은 평수, 넉넉한 수납, 구파발역 도보 4분","['10년이내', '역세권', '복층']",스타공인중개사사무소
2060806897,1138011400,A01,A1,6/7,100000,122,84,남향,37.634825,126.926509,"역세권 남향, 복층테라스, 인테리어, 신도초중 인접","['15년이내', '테라스', '복층', '방세개']",친절한공인중개사사무소
2060826861,1138011400,A03,A1,15/16,50000,63,42,,37.639489,126.918318,"구파발초역세권2룸, 12월입주협의, ","['4년이내', '역세권', '방두개']",신한공인중개사사무소
2060803288,1138010200,A01,A1,13/17,105000,115,84,,37.60816,126.937085,"북한산조망, 조합원옵션,입주가능","['10년이내', '대단지', '방세개', '화장실두개']",소망(단지내)공인중개사사무소
2060783466,1138010600,A02,A1,12/17,14700,35,19,남동향,37.617255,126.922414,,"['10년이내', '역세권', '화장실한개']",(주)안덕부동산중개법인
2060802912,1138010200,A01,A1,2/4,140000,144,97,,37.605382,126.936762,"테라스,인테리어가 잘되어있는 주인거주집","['10년이내', '테라스', '대단지', '대형평수']",소망(단지내)공인중개사사무소
2060826272,1138011400,A02,A1,6/6,43000,106,54,남서향,37.639602,126.918109,"전세안고, 구파발초역세권,방2,거실,화1개 구조의 오피스텔","['4년이내', '역세권', '탑층']",신한공인중개사사무소
2060826070,1138011400,A03,A1,17/20,78000,84,59,남동향,37.639676,126.919015,"전세안고 21년2월이사협의,4베이, 북한산 조망세대","['4년이내', '역세권', '방세개']",신한공인중개사사무소
2060776167,1138010200,A01,A1,2/20,90000,82,59,남향,37.605424,126.935392,21년 2월이후 입주가능 시스템에어컨2대 필로티위 2층 ,"['2년이내', '대단지', '방세개', '화장실두개']",으뜸공인중개사사무소
2060771221,1138010200,A01,A1,16/20,130000,111,84,남향,37.604363,126.936664,"커뮤니티시설 인접,일조권 탁월,로얄층","['2년이내', '역세권', '대단지', '방세개']",하나(단지내)공인중개사사무소
2060757820,1138010300,A01,A1,12/15,80000,79,59,남향,37.619054,126.935163,북한산 공기가 솔솔 집안으로 확장 입주가능한 집,"['15년이내', '역세권', '대단지', '방세개']",독바위채움공인중개사사무소
2060777348,1138010200,A01,A1,18/20,125000,112,84,남향,37.602214,126.936298,입주가능 로얄동 풀옵션 로얄 매물 ,"['2년이내', '역세권', '방세개', '화장실두개']",으뜸공인중개사사무소
2060756056,1138010300,A01,A1,1/10,118000,168,141,남향,37.617319,126.927667,"남향, 올확장, 전세끼고 매매","['10년이내', '역세권', '1층', '대형평수']",정다운공인중개사사무소
2060751617,1138010300,A01,A1,7/15,74000,88,66,남향,37.615467,126.928078,전체 올수리 잘한집,"['25년이상', '올수리', '대단지', '방두개']",열린공인중개사사무소
2060755565,1138010300,A01,A1,17/18,96000,80,59,,37.616404,126.926139,"즉시입주가능,복층, 옥상테라스,관리잘된집","['10년이내', '테라스', '복층', '방세개']",정다운공인중개사사무소
2060779245,1138010300,A01,A1,4/15,93000,140,114,남향,37.612296,126.934127,"정남향, 3.6호선 불광역 도보 5분","['25년이내', '역세권', '대형평수', '방네개이상']",연세공인중개사사무소
2060751716,1138010300,A01,A1,4/15,75000,88,66,남향,37.614973,126.927225,입구와 가까운 동,"['25년이상', '역세권', '대단지', '방두개']",열린공인중개사사무소
2060779307,1138010300,A01,A1,1/15,75000,79,59,남향,37.619054,126.935163,북한산에 접해있어 환경권굿 전면 3층높이입니다.,"['15년이내', '역세권', '대단지', '1층']",경남(정문앞)공인중개사사무소
2060756605,1138010300,A01,A1,8/10,140000,168,141,,37.61672,126.928128,"옥상테라스있는 복층, 조망 굿, 남향,즉시입주가능","['10년이내', '테라스', '역세권', '복층']",정다운공인중개사사무소
2060776025,1138011400,A01,A1,2/8,65000,80,59,,37.645567,126.926762,"은평뉴타운 초,중,고 인접 아파트 전세안고 매수가능합니다.","['15년이내', '방세개', '화장실두개', '세대당1대']",상지부동산중개
2060772892,1138010300,A01,A1,11/15,92000,111,84,,37.61185,126.938607,올확장된 북한산과 생태공원을 조망하는 깨끗하고 조망 좋은 집 입니다,"['15년이내', '방세개', '화장실두개', '고층']",금탑공인중개사사무소
2060779493,1138010300,A01,A1,3/15,77000,79,59,남향,37.61139,126.938591,"갭투자좋아요, 세안고 매매","['15년이내', '필로티', '방세개', '화장실두개']",연세공인중개사사무소
2060771824,1138010200,A01,A1,18/20,125000,112,84,남동향,37.601124,126.936223,"녹번초역세권,로얄동 로얄층,입주가능","['2년이내', '역세권', '방세개', '화장실두개']",하나(단지내)공인중개사사무소
2060775969,1138010200,A01,A1,15/20,123000,111,84,남향,37.604363,126.936664,급매 세끼고 매매 북한산뷰 펼쳐진 집,"['2년이내', '역세권', '대단지', '급매']",으뜸공인중개사사무소
2060754634,1138010300,A01,A1,1/16,108000,109,84,,37.616497,126.925402,"입구동, 판상형, 아이키우기 좋은집","['10년이내', '역세권', '1층', '방세개']",정다운공인중개사사무소
2060754138,1138010300,A01,A1,5/10,120000,109,84,,37.61694,126.927548,"남향, 판상형, 관리잘된 집","['10년이내', '방세개', '화장실두개', '중층']",정다운공인중개사사무소
2060756293,1138010300,A01,A1,2/10,130000,168,141,남향,37.61672,126.928128,"조용한 정남향 매물, 산책을 즐길수 있는 단지내 공원과 인접","['10년이내', '역세권', '대형평수', '방네개이상']",정다운공인중개사사무소
2060754775,1138011400,A01,A1,10/11,140000,221,167,,37.644411,126.928478,,"['15년이내', '대형평수', '방네개이상']",수정공인중개사사무소
2060306448,1138010900,C02,A1,3/7,15000,56,56,남서향,37.597449,126.910403,,"['15년이내', '역세권', '소형평수']",-
2060621716,1138010700,A02,A1,8/15,13500,52,37,북동향,37.599289,126.917666,이마트 맞은편 대로변 위치 굿 풀옵션 조정가능,"['25년이내', '역세권', '화장실한개', '소형평수']",백련산해모로공인중개사사무소
2060714645,1138010300,A01,A1,3/17,85000,80,59,남향,37.616264,126.927569,입구동  남향 확장형 전세끼고 투자용,"['10년이내', '확장형', '방세개']",골든벨공인중개사사무소
2060720843,1138010300,A01,A1,3/16,115000,109,84,남향,37.617057,126.925586,남향 로얄동 확장형 시스템에어컨 올수리,"['10년이내', '올수리', '역세권', '확장형']",태양공인중개사
