atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2059884363,1111017400,A01,A1,13/14,67000,87,64,남향,37.58053,127.011284,"급매,즉시입주,수리잘된집,올수리,남향,전망좋은집,창신역5분","['25년이상', '올수리', '역세권']",수색예가공인중개사사무소
2059921405,1111018400,C02,A1,3/3,61500,60,51,남향,37.59743,126.965041,핫 좋다 4룸 복층 신축 위치좋은 생활인프라 좋은 귀한매매,"['2년이내', '테라스', '화장실세개']",어반공인중개사사무소
2059084301,1111018400,C02,A1,2/4,35000,50,42,,37.595117,126.964418,"신축급,숲세권,공간구조좋은3룸,주차,엘리베이터,대출가능,조용한주택가","['4년이내', '화장실한개', '소형평수']",다원공인중개사사무소
2060800269,1111018700,A01,A1,5/23,120000,109,84,남향,37.574625,126.95949,독립문역 2분,"['25년이내', '역세권', '방세개', '화장실두개']",-
2060494072,1111014900,C02,A1,3/4,42000,59,59,남동향,37.581662,126.988828,"안국역 도보 10분, 창덕궁 근처 빌라 매매","['25년이내', '소형평수', '방세개']",-
2060384703,1111017500,C02,A1,2/4,35000,59,59,남향,37.576984,127.01988,신설동역 동묘앞역 6분 풀옵션 매매,"['역세권', '화장실두개', '소형평수']",-
2060821284,1111018000,A01,A1,9/10,86000,55,37,남동향,37.571797,126.961692,소형아파트 세안고투자.,"['4년이내', '역세권', '소형평수']",토마토(경희궁자이)공인중개사사무소
2060815696,1111017900,A01,A1,12/21,170000,113,84,남서향,37.569715,126.963668,멀티룸.판상형.채광굿.로얄층,"['4년이내', '역세권', '대단지']",토마토(경희궁자이)공인중개사사무소
2060821182,1111018000,A01,A1,9/10,85000,55,37,남동향,37.571797,126.961692,세안고매매.투자굿.광화문권직주근접,"['4년이내', '역세권', '소형평수']",토마토(경희궁자이)공인중개사사무소
2060812599,1111017700,A01,A1,19/20,180000,110,84,남서향,37.568507,126.965609,판상형.덕수초.층간소음걱정NO.탁트인뷰,"['4년이내', '역세권', '방세개']",토마토(경희궁자이)공인중개사사무소
2060821827,1111018000,A01,A1,8/19,105000,67,45,남서향,37.571244,126.961744,토마토강추.신혼부부적극추천.소형아파트,"['4년이내', '역세권', '방두개']",토마토(경희궁자이)공인중개사사무소
2060835942,1111018000,A01,A1,3/10,85000,55,37,남동향,37.571797,126.961692,실입주가능 매매 독립문역 초역세권 신축 ,"['4년이내', '역세권', '필로티', '소형평수']",자이아침공인중개사사무소
2060835781,1111017700,A01,A1,5/20,170000,111,84,,37.568031,126.965831,세안고매매 덕수초학군 초역세권 종로광화문여의도직주근접,"['4년이내', '역세권', '방세개', '화장실두개']",자이아침공인중개사사무소
2060835859,1111017700,A01,A1,7/20,160000,102,77,남향,37.568031,126.965831,"30P 덕수초, 서대문역가까운 판상형아파트,","['4년이내', '역세권', '방세개']",자이아침공인중개사사무소
2060836138,1111017900,A01,A1,4/21,180000,112,84,남향,37.570663,126.963915,"전세안고 매매 ,로얄동로얄층 파노라마뷰 전망 굿 ","['4년이내', '대단지', '방세개', '화장실두개']",자이아침공인중개사사무소
2060813352,1111017700,A01,A1,2/20,143000,81,59,남서향,37.568844,126.965072,토마토강추.세안고매매.투자굿.,"['4년이내', '역세권', '방세개']",토마토(경희궁자이)공인중개사사무소
2060835594,1111017900,A01,A1,4/21,165000,113,84,남향,37.569232,126.964105,"34P 멀티룸, 세안고매매,정원뷰 편안하고 ","['4년이내', '역세권', '대단지']",자이아침공인중개사사무소
2060836784,1111017700,A01,A1,4/16,250000,148,116,,37.568577,126.966457,"45P.전세안고매매, 방4개 판상형 희소성있","['4년이내', '역세권', '대형평수']",자이아침공인중개사사무소
2060836024,1111017900,A01,A1,15/21,280000,173,138,남서향,37.570171,126.964284,"52P 귀한대형매매 즉시입주가능 , 방5 로얄","['4년이내', '대단지', '대형평수']",자이아침공인중개사사무소
2060812948,1111018000,A01,A1,6/11,86000,115,84,동향,37.57164,126.96167,"확트인뷰,올수리,살기좋은아파트","['25년이내', '올수리', '역세권']",우진스타공인중개사사무소
2060810765,1111017700,A01,A1,8/20,170000,102,77,남동향,37.568031,126.965831,"T.732 8945,입주가능,덕수초,초역세권","['4년이내', '역세권', '방세개']",우진스타공인중개사사무소
2060795246,1111017900,A01,A1,10/12,153000,83,59,남향,37.571468,126.964176,"T.739 5757 정남향의 아늑한 집, 조용한 로얄동 최상매물","['4년이내', '대단지', '방세개']",경희궁The잘나가는공인
2060745342,1111017400,A01,A1,5/19,76000,107,84,동향,37.577462,127.015015,창신역세권 동향 올리모델링 거실 폴딩도어 입주협의,"['25년이내', '역세권', '방세개', '화장실두개']",제일부동산공인중개사사무소
2060770665,1111011500,A03,A1,7/14,130000,116,97,북향,37.574313,126.969061,총14세대 인기구조. 정원조망. 입주협의,"['15년이내', '역세권', '방세개', '화장실두개']",광화문스페이스공인중개사
2060751711,1111018700,A01,A1,13/16,140000,114,84,남향,37.573638,126.959784,초급매 초역세권 남향 로얄층 판상형 상태굿,"['2년이내', '역세권', '급매', '방세개']",경희궁뜰공인중개사사무소
2060739750,1111018000,A01,A1,10/19,107000,67,45,남서향,37.571244,126.961744,"입주가능, 빌트인 시스템","['4년이내', '역세권', '방두개']",해드림공인중개사사무소
2060745713,1111018000,A01,A1,9/19,85000,55,37,남서향,37.571244,126.961744,"입주 협의 가능, 빌트인 시스템으로 전월세 잘 나갑니다.","['4년이내', '역세권', '소형평수', '방한개']",해드림공인중개사사무소
2060771109,1111017900,A01,A1,3/21,175000,114,84,남향,37.570582,126.962807,"테라스있는 정원집.정남향 ,실입주매물","['4년이내', '테라스', '대단지']",우진스타공인중개사사무소
2060752590,1111017900,A01,A1,7/12,220000,133,101,남서향,37.571468,126.964176,T.312 8000 복층 안쪽인기로얄동 귀한매물 전세안고,"['4년이내', '대단지', '복층', '대형평수']",경희궁뜰공인중개사사무소
2060793713,1111017500,A01,A1,11/12,98000,105,84,,37.581439,127.016491,"열매 922 3636 입주가능,전망있는 판상형,전체 확장형,초역세권","['15년이내', '역세권', '확장형', '방세개']",열매공인중개사사무소
2060798824,1111017500,A01,A1,1/12,80000,81,59,동향,37.581613,127.015776,"02.763.3900 실제 내부사진, 입주협의, 매우깔끔함, 필로티위1층","['15년이내', '역세권', '1층']",원투공인중개사사무소
2060790570,1111017500,A01,A1,5/12,87000,81,59,,37.581613,127.015776,초역세권 조용하고 입주가능함,"['15년이내', '역세권', '방세개', '화장실두개']",신용공인중개사사무소
2060583452,1111018000,A02,A1,2/5,55000,108,39,남서향,37.571355,126.961664,TOP탑 방1 분리형원룸. 독립문초역세권,"['4년이내', '역세권', '필로티']",경희궁자이탑부동산중개
2060498261,1111011500,A03,A1,6/14,170000,190,159,북동향,37.574285,126.967997,탁 트인 산 전망.실 입주 매매.고급 인테리어,"['15년이내', '대형평수', '방세개', '화장실두개']",광화문스페이스공인중개사
2060584591,1111018000,A02,A1,2/5,33000,69,25,남서향,37.571355,126.961664,T3662 3662 전세안고 갭투자강추 풀옵션  ,"['4년이내', '역세권', '필로티']",경희궁자이탑부동산중개
2060613153,1111011500,A03,A1,6/13,170000,190,153,남동향,37.573481,126.967714,가장 조용한 단지.실 입주 매매.밝은 남향집,"['15년이내', '대형평수', '방네개이상', '화장실두개']",광화문스페이스공인중개사
2060550960,1111018700,A01,A1,7/16,140000,145,114,남서향,37.577302,126.957551,조용하고 뒷배경이 멋스러운 입주가능한 매물입니다.,"['15년이내', '역세권', '대형평수', '방네개이상']",부동산114새천년공인중개사사무소
2060830084,1111011800,A02,A1,6/18,28000,74,37,,37.573449,126.973341,"갭투자5천,방1,거실별도 분리형,덕수초학군, 풀옵션,광화문역 인근,","['25년이내', '역세권', '화장실한개']",종로자이공인중개사사무소
2060625499,1111018100,C02,A1,3/4,28000,62,51,남향,37.574006,126.962934,풀인테리어.빠른입주.투자가능 신혼부부추천,"['25년이내', '역세권', '소형평수']",경희궁 감동공인중개사사무소
2060626279,1111018100,C02,A1,4/4,29000,81,59,남향,37.57361,126.962761,21.2 입주가능. 전망좋음. 확장형.  깨끗한 집,"['역세권', '화장실한개', '탑층']",경희궁 감동공인중개사사무소
2060284207,1111011800,A03,A1,16/16,170000,173,150,남향,37.573599,126.971957,"54Type,부분인테리어,예쁜하늘뷰와 내려다보면 단지내이쁜정원","['25년이내', '역세권', '대형평수']",열린공인중개사사무소
2060573393,1111011300,A02,A1,2/10,18000,40,24,남서향,37.575731,126.969505,역세권 오피스텔 전세 안고 매매 올 리모델링,"['25년이내', '역세권', '필로티']",부자공인중개사사무소
2060542617,1111011500,A03,A1,5/14,220000,176,146,남동향,37.574285,126.967997,"전체확장,추가특급인테리어,정원전망,세안고매매입니다","['15년이내', '대형평수', '방네개이상']",쌍용예가공인중개사사무소
2060294456,1111017900,A01,A1,13/21,155000,82,59,남동향,37.570975,126.962439,,"['4년이내', '대단지', '방세개']",자이좋은집공인중개사사무소
2060309973,1111018700,A01,A1,7/15,115000,108,84,남동향,37.575619,126.959862,"5년된아파트이며,집이 너무깨끗합니다,입주가능","['10년이내', '역세권', '방세개']",I`PARK현대공인
2060379412,1111018000,A02,A1,5/5,35000,69,25,남서향,37.571355,126.961664,풀 옵션 준 신축 오피스텔 전세 안고 매매,"['4년이내', '역세권', '화장실한개', '탑층']",부자공인중개사사무소
2059860698,1111011300,A02,A1,5/10,22000,56,34,동향,37.575731,126.969505,삿시새로함.조용한 동향의 입주가능한 급매물 입니다,"['25년이내', '역세권', '급매', '화장실한개']",건국공인중개사사무소
2060285475,1111011500,A03,A1,10/13,170000,200,162,북향,37.573481,126.967714,특급 인테리어.조용한 단지. 전망 좋아요,"['15년이내', '대형평수', '방네개이상', '화장실두개']",광화문스페이스공인중개사
2060347234,1111018700,A01,A1,4/17,120000,141,114,남동향,37.575979,126.96083,입주협의. 입주가능. 조용한 동,"['25년이내', '역세권', '대형평수', '방네개이상']",하이부동산 공인중개사 사무소
2059801930,1111013300,E01,A1,9/-1,340000,112,547,,37.574569,126.989716,"오피스 많은 곳의 생활형 원룸 건물,가격조정가능P",['역세권'],아이디부동산공인중개사사무소
2060343680,1111018300,C03,A1,2/-1,250000,700,327,남향,37.609865,126.969195,"초급매, 212,  코로나로 인해 새롭게 각광받는 평창동 단독","['급매', '방네개이상', '화장실네개이상']",한남오거리공인중개사사무소
2060332579,1111018100,C02,A1,1/4,23000,74,54,남서향,37.572568,126.965293,조용한 빌라촌 올 수리된 빌라 즉시 입주 가능,"['올수리', '1층', '방두개', '화장실한개']",부자공인중개사사무소
2060342317,1111010700,D01,A1,4/16,47000,139,73,동향,37.574444,126.973542,"인왕산뷰, 전용22, 채광조망굿, 월200만원임대중","['역세권', '동향', '관리비50만원이하']",열린공인중개사사무소
2060045250,1111011500,A03,A1,1/14,130000,113,94,북향,37.574686,126.96849,실 입주 매매.층간 소음 걱정없는 1층 추천,"['15년이내', '역세권', '1층', '방세개']",광화문스페이스공인중개사
2060355325,1111017500,C02,A1,2/5,23400,72,59,,37.578,127.019318,l주택임대사업자환영l숭인동l넓은쓰리룸l6호선1호선인근l투자환영l공동중개환,"['4년이내', '역세권', '방세개', '화장실한개']",예스공인중개사
2059917545,1111018700,A01,A1,6/16,145000,145,114,남향,37.577302,126.957551,올수리된 깨끗한집. 확장된 넓은 구조. 협의가능합니다.,"['15년이내', '올수리', '역세권', '대형평수']",독립만세공인중개사사무소
2060126179,1111017700,A01,A1,19/20,200000,111,84,남동향,37.568031,126.965831,"T.732 8945, 덕수초, 최고의전망,교통편리한단지","['4년이내', '역세권', '방세개']",우진스타공인중개사사무소
2060341546,1111010700,D01,A1,15/16,23500,73,38,서향,37.574444,126.973542,"수익형, 월세70만임대중, 조망채광굿, 전용11","['역세권', '관리비20만원이하', '엘리베이터', '인터폰']",열린공인중개사사무소
2060341303,1111010700,D01,A1,10/16,29000,86,45,동향,37.574444,126.973542,"경복궁뷰, 월세100임대중, 전용13, 내년입주가능","['역세권', '주차가능', '엘리베이터', '인터폰']",열린공인중개사사무소
2060117679,1111012600,A02,A1,20/20,38000,74,45,,37.570657,126.979775,"광화문랜드마크 오피스텔 룸1개 있는 편리한 구조,뷰좋고 관리상태 좋음","['15년이내', '역세권', '탑층']",종로타운공인
