atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060036132,1114016200,C02,A1,-1/3,110000,236,207,남향,37.556198,127.008326,"3, 6호선 역세권 평지에 위치, 주차2대, 대형빌라","['25년이내', '역세권', '대형평수']",동남공인중개사사무소
2059278413,1114016200,C02,A1,2/5,11000,35,31,,37.550382,127.005757,넓은 방1개 빌라 매매,"['25년이내', '역세권', '소형평수']",키다리아저씨 공인중개사 사무소
2059054379,1114016200,C02,A1,4/4,16000,62,56,북동향,37.551376,127.004737,약수역 부근 올 리모델링 이런 빌라 또 없습니다,"['25년이내', '역세권', '소형평수']",약수역공인중개사
2059063011,1114016200,C02,A1,2/3,19000,55,46,북동향,37.551794,127.005364,약수역 6분 가성비 좋은 빌라 매물,"['25년이내', '역세권', '소형평수']",약수역공인중개사
2059291689,1114016200,C02,A1,1/4,22000,55,49,남향,37.551238,127.006495,"약수역 3, 6호선 7분거리, 전세가로 매입할 수있는 기회","['25년이내', '역세권', '1층']",동남공인중개사사무소
2059004433,1114016200,C02,A1,1/4,37000,68,61,남향,37.548332,127.006187,집앞 남산정원 올수리 신혼 어린자녀있는분 추천 버티고급주택가,"['25년이내', '올수리', '역세권']",골드공인중개사사무소
2060535358,1114016500,A02,A1,8/11,26000,48,36,,37.566426,127.022676,급매신당역 더블역세권 풀옵션 입주 2년차 오피스텔 매매입니다.,"['2년이내', '역세권', '급매', '화장실한개']",아크로타워단지내부동산공인중개사사무소
2060770167,1114016200,C02,A1,5/5,135000,142,94,동향,37.54973,127.005276,"호텔급 올수리,높은 층고, 지정주차, 남산타워조망, 2개의 테라스","['올수리', '테라스', '역세권', '대형평수']",굿모닝힐스공인
2060510528,1114016200,C02,A1,3/4,14500,66,47,동향,37.551241,127.005435,약수역 성곽길 언덕길 깔끔한 투룸빌라 입주가능,"['25년이내', '역세권', '방두개']",화신공인중개사사무소
2060505633,1114016200,C03,A1,2/0,72000,100,146,,37.555191,127.007875,거주 및 월세 수익용 추천,"['역세권', '방세개', '화장실한개']",굿모닝힐스공인
2060741521,1114016500,A03,A1,22/33,98000,112,84,북서향,37.571003,127.020579,청계천뷰  월세안고   매매 추천합니다. ,"['15년이내', '역세권', '대단지']",솔뫼공인중개사사무소
2060829450,1114017400,A01,A1,2/14,147000,111,84,남서향,37.554971,126.965424,풀옵션 판상형 초역세권 3 4 P 개발호재 만발,"['2년이내', '역세권', '방세개']",자이최고공인중개사사무소
2060838185,1114016200,A01,A1,8/20,130000,107,84,남향,37.555052,127.012673,올수리 최고로얄동  남향 입주정상입니다,"['25년이내', '올수리', '역세권', '대단지']",동아공인중개사사무소
2060794804,1114016200,A01,A1,3/15,130000,149,117,,37.561185,127.023187,에어컨풀 남향 확장 조용하고 아늑해요 일조권 굿 정원뷰,"['10년이내', '대형평수', '방세개', '화장실두개']",코끼리공인중개사사무소
2060307113,1114016500,A02,A1,11/12,13000,33,19,서향,37.567151,127.023256,월세 수익률 좋은 오피스텔입주가능,"['10년이내', '역세권', '소형평수']",한양공인중개사사무소
2060767970,1114016800,A03,A1,13/22,145000,110,82,남향,37.563893,126.969948,"시청, 광화문 직주근접 명품학군 정동과 맞닿은 귀한 매매","['10년이내', '역세권', '방세개']",덕수궁롯데캐슬공인중개사사무소
2060838548,1114016200,A01,A1,2/20,92000,92,65,서향,37.555344,127.01637,특올수리  확트인조망  조용한동입니다,"['25년이내', '올수리', '역세권']",동아공인중개사사무소
2060618109,1114016200,A01,A1,2/20,90000,92,65,서향,37.555344,127.01637, 최근 특 올수리 샷시까지 교체 앞 전망 최고 입주됩니다,"['25년이내', '올수리', '역세권']",약수부동산공인중개사사무소
2060838341,1114016200,A01,A1,16/20,93000,80,57,남향,37.555851,127.015538,올수리 전망좋은 남향 입주정상입니다,"['25년이내', '올수리', '역세권']",동아공인중개사사무소
2060820339,1114016200,A01,A1,6/12,95000,80,57,남향,37.554018,127.012913,남향 약수역 편리한 109동 시세 저렴 입주됩니다,"['25년이내', '역세권', '대단지', '방두개']",약수부동산공인중개사사무소
2060754976,1114016200,A01,A1,2/16,82000,80,59,남향,37.55739,127.01889,"24 신당 삼성 소형, 내부 깔끔, 전세 안고 급매","['25년이내', '역세권', '급매', '방세개']",단지내 래미안공인중개사사무소
2060496490,1114016200,A01,A1,10/18,130000,138,114,남동향,37.559524,127.019553,"1년전 완전 올수리, 신혼부부 추천","['15년이내', '올수리', '대형평수', '방네개이상']",특집공인중개사사무소
2060584108,1114017100,A03,A1,15/35,140000,137,112,남서향,37.56087,126.968193,약현성당뷰 실입주가능 입주일조절가능 방3화2 양창넓은거실 올빌트인 역세권,"['15년이내', '역세권', '대형평수']",브라운스톤공인중개사사무소
2060571720,1114016500,A03,A1,11/33,120000,151,114,남향,37.571105,127.021993,45p입주가능 상가이용 편리한 가성비추천매물 기본판상형,"['15년이내', '역세권', '대단지', '대형평수']",텐즈공인중개사사무소
2060754091,1114016800,A03,A1,4/22,138000,110,82,남향,37.563893,126.969948,"초역세권 최고의학군, 세끼고 매매","['10년이내', '역세권', '방세개']",경희궁자이부동산공인중개사사무소
2060502922,1114016200,A01,A1,9/15,130000,112,84,동향,37.561555,127.022197,확장형 판상형 입주가능 매매,"['10년이내', '확장형', '방세개']",그린공인중개사사무소
2060722037,1114016800,A03,A1,9/22,155000,110,82,남향,37.563983,126.970463,"전세매매, 3룸, 적은갭투자 , 로얄동","['10년이내', '역세권', '방세개']",미소공인중개사사무소
2060538087,1114016200,A01,A1,6/16,120000,137,114,남향,37.558298,127.01941,역세권 남향 방4욕실2 조망권굿 신당인기 아파트,"['15년이내', '역세권', '대형평수', '방네개이상']",골드공인중개사사무소
2060328724,1114016200,A01,A1,3/15,130000,149,117,남향,37.561253,127.021545,남향 정원뷰 집상태 좋으며 입주가능한 추천매물,"['10년이내', '대형평수', '방네개이상', '화장실두개']",래미안드림 공인중개사
2060524815,1114016200,A02,A1,10/17,17000,42,21,,37.564926,127.023319,소액투자 최고 매물 ,"['10년이내', '역세권', '소형평수', '방한개']",스마트하우스공인중개사사무소
2060286007,1114016200,A01,A1,5/18,150000,167,145,남향,37.558858,127.019584,"올 수리 응봉공원 인접 신당동 2,5,6호선 전철 역세권 살기좋은 아파트","['15년이내', '올수리', '역세권', '대형평수']",두레공인중개사
2060598500,1114016500,A03,A1,4/5,30000,34,28,남향,37.56681,127.021131,신당역2호선  2분 6호선 신당역 도보 5분,"['10년이내', '역세권', '소형평수', '방한개']",자이타운공인중개사사무소
2060537752,1114016200,C02,A1,2/4,32000,61,47,,37.560199,127.010253,전철5개노선이용가능 빠른입주 방3욕실1,"['25년이상', '역세권', '소형평수']",금강부동산공인중개사사무소
2060333890,1114017300,A03,A1,14/15,65000,70,56,,37.55514,126.967209,올수리 인테리어 입주가능 서울역 초역세권 서울역호재가득 ,"['25년이내', '올수리', '역세권', '방두개']",서울로자이공인중개사사무소
2060315392,1114016800,A03,A1,10/22,100000,75,56,북서향,37.563893,126.969948,실입주가능한 인기구조 로얄층 좋은뷰 매매,"['10년이내', '역세권', '방한개']",덕수궁롯데캐슬공인중개사사무소
2060633286,1114016200,D05,A1,4/0,250000,165,239,동향,37.562972,127.018412, 신당역 6분거리 신축급 다가구주택 5층 ,"['10년이내', '역세권', '방네개이상']",다산공인중개사사무소
2060599656,1114016800,D01,A1,20/27,23000,59,32,,37.560182,126.972059,"전망트인 업무용 오피스텔매매, 사무실로 사용",['역세권'],OK부동산공인
2060570075,1114016500,A03,A1,10/12,125000,171,136,남향,37.566566,127.022358,"전세안고 ,아파트형 평면구조,충분한 수납공간","['10년이내', '역세권', '대형평수', '방세개']",파크공인중개사사무소
2060308425,1114017300,A03,A1,12/15,80000,92,73,,37.55514,126.967209, 초 역세권  전세낀 매매  7017고가 바로 앞 ,"['25년이내', '역세권', '방세개', '화장실두개']",행운공인중개사사무소
2060515746,1114016500,A02,A1,3/12,13800,33,19,동향,37.567151,127.023256,전세안고매매 소액투자가능 상태최상,"['10년이내', '역세권', '화장실한개', '소형평수']",꿈꾸는부동산공인중개사사무소
2060266120,1114016200,A01,A1,13/15,108000,79,59,,37.561708,127.02215,확장형 판상형 남산뷰 로얄동 로얄층 입주가능,"['10년이내', '역세권', '확장형']",시티공인중개사사무소
2058575242,1114016200,C02,A1,2/4,17500,47,42,남동향,37.551238,127.006495,약수역 6분 거리 햇볕 잘 들고 가성비 좋은 빌라,"['25년이내', '테라스', '역세권']",약수역공인중개사
2058601403,1114016200,C02,A1,4/4,57800,54,48,남서향,37.554128,127.008022,약수역 초역세권 최고급 신축 빌라,"['2년이내', '역세권', '화장실두개']",약수역공인중개사
2058564253,1114016200,C02,A1,4/4,22500,63,58,남향,37.550953,127.006348,"3, 6호선 역세권, 약수역7분,전세가로 매입할 수있는 급매 빌라","['25년이내', '역세권', '급매']",동남공인중개사사무소
2060179416,1114016200,A02,A1,4/7,15000,28,20,남동향,37.556749,127.009867,,"['10년이내', '역세권', '화장실한개', '소형평수']",솔로몬부동산중개사
