atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2060393205,1126010100,C02,A1,3/7,40500,45,38,남동향,37.580134,127.084756,"실21p, 주차좋은 초역세권 신축빌라 3룸, 실매물, 실사진 확인하세요","['2년이내', '역세권', '화장실두개']",퍼스트하우스공인중개사사무소
2060394838,1126010500,C02,A1,3/6,22000,36,28,서향,37.593847,127.098232,"신축 로열층 2룸, 구조좋고 밝은집입니다, 실매물 실사진","['2년이내', '화장실한개', '소형평수']",퍼스트하우스공인중개사사무소
2060136586,1126010500,C02,A1,3/5,25900,36,29,서향,37.598507,127.098477,우림시장 인근 내부구조 좋은 신축빌라,"['2년이내', '화장실한개', '소형평수']",마이하우징공인중개사사무소
2060363308,1126010100,C02,A1,4/5,26800,44,29,북향,37.587239,127.100907,면목동 테라스 있는 신축투룸,"['2년이내', '테라스', '화장실한개']",마이하우징공인중개사사무소
2060365815,1126010300,C02,A1,3/5,36400,59,49,북향,37.599076,127.081415,중화역 역세권 주거여건 좋고 구조 좋은 귀한 신축빌라,"['2년이내', '역세권', '화장실두개']",마이하우징공인중개사사무소
2060379384,1126010100,C02,A1,4/6,28000,35,29,북동향,37.588237,127.084977,"면목 초역세, 신축빌라2룸, 입지굿, 호재 굿","['2년이내', '역세권', '화장실한개']",퍼스트하우스공인중개사사무소
2060120649,1126010100,C02,A1,3/6,27600,35,29,동향,37.589669,127.088606,면목역 역세권 내부구조 좋고 인테리어 좋은 신축빌라,"['2년이내', '역세권', '화장실한개']",마이하우징공인중개사사무소
2060370701,1126010200,C02,A1,7/9,25000,42,29,남향,37.594417,127.089628,"건축2년,투룸옵션냉장고,천정에어컨,옷장,중문,밝고환하며 깔끔합니다","['4년이내', '역세권', '소형평수']",겸재 공인중개사사무소
2060394637,1126010500,C02,A1,4/6,25500,31,27,남향,37.593159,127.09846,"경전철 초역세권 예정지, 신축 2룸, 2개동 실매물 실사진","['2년이내', '화장실한개', '소형평수']",퍼스트하우스공인중개사사무소
2060330719,1126010400,C02,A1,4/4,23900,50,46,,37.612154,127.074219,먹골역 5분 특 올 수리3룸3베란다 즉시입주 주차가능,"['25년이내', '올수리', '역세권']",엘지공인중개사사무소
2060379726,1126010100,C02,A1,3/6,27600,35,29,동향,37.589669,127.088606,"실사진. 실매물, 신축빌라2룸, 호재가 너무많아요","['2년이내', '역세권', '화장실한개']",퍼스트하우스공인중개사사무소
2060311759,1126010100,C02,A1,3/5,25000,47,40,남서향,37.575623,127.084727,용마산역5분 급매 중곡초앞 전세가로 내집마련기회입니다.,"['10년이내', '역세권', '급매']",명가공인중개사사무소
2060393745,1126010100,C02,A1,5/5,31800,45,29,남향,37.587239,127.100907,"신축빌라 복층형 3룸 2욕실, 테라스하우스, 실매물 실사진","['2년이내', '테라스', '화장실두개']",퍼스트하우스공인중개사사무소
2060133282,1126010200,C02,A1,8/10,42500,49,42,서향,37.594589,127.091103,3룸 상봉동 주방 좋고 상봉망우역세권 인프라우수,"['2년이내', '역세권', '화장실두개']",참조은부동산공인중개사사무소
2060136661,1126010200,C02,A1,4/6,30000,31,25,서향,37.59456,127.082528,2룸 상봉동 인테리어 이쁜 신축빌라,"['2년이내', '역세권', '화장실한개']",참조은부동산공인중개사사무소
2060169546,1126010400,C02,A1,3/5,26000,58,51,,37.61425,127.078964,"신축7년생  7호선 도보5분이내 주방, 거실 분리 타입 공간 좋은","['10년이내', '역세권', '화장실한개']",엘지공인중개사사무소
2059869683,1126010100,C02,A1,2/6,28000,63,53,동향,37.588479,127.083785,역세권 단지형 빌라 매매 추천 합니다,"['역세권', '방세개', '화장실두개']",명품부동산공인중개사사무소
2059890845,1126010100,C02,A1,2/7,37300,66,55,서향,37.589253,127.074343,3룸 면목동 큰거실 주방옆다용도실 중랑초인근,"['2년이내', '화장실두개', '방세개']",참조은부동산공인중개사사무소
2059890308,1126010300,C02,A1,3/5,38500,68,57,동향,37.604495,127.074411,역세권 내부 넓고 구조 좋은 신축빌라,"['2년이내', '역세권', '화장실두개']",마이하우징공인중개사사무소
2059849866,1126010100,C02,A1,6/7,37800,64,53,남서향,37.589253,127.074343,동원골목시장 인근 내부구조 좋고 인테리어 좋은 신축투룸,"['2년이내', '화장실세개', '방세개']",마이하우징공인중개사사무소
2059710103,1126010300,C02,A1,2/5,35800,63,53,남동향,37.599076,127.081415,신축빌라전문 이근처에서제일좋은집 상봉역더블역세권 구조좋은 신축3룸,"['2년이내', '역세권', '화장실두개']",서강공인중개사사무소
2059709495,1126010400,C02,A1,3/6,35200,54,43,남서향,37.605435,127.074666,신축빌라전문 중화역역세권 신축3룸 구조좋고 전망좋은집 학교인근,"['화장실두개', '소형평수', '방세개']",서강공인중개사사무소
2059095194,1126010500,C02,A1,4/6,22000,36,28,서향,37.593847,127.098232,혜원여고인근 신축2룸 실전용13p 주변시세대비저렴한매물,"['2년이내', '화장실한개', '소형평수']",서진공인중개사사무소
2059684469,1126010100,C02,A1,3/7,25800,35,29,서향,37.589253,127.074343,신축빌라전문 신혼부부추천 ㄷ형주방 구조좋은2룸 채광전망굿 쾌적한주거환경,"['2년이내', '소형평수', '방두개']",서강공인중개사사무소
2059672363,1126010200,C02,A1,6/8,25900,32,26,남동향,37.593887,127.088951,신축빌라전문 상봉역역세권 신혼부부강추 2룸1욕실 주변인프라최상,"['역세권', '소형평수', '방두개']",서강공인중개사사무소
2059648140,1126010100,D05,A1,5/0,265000,216,386,동향,37.589205,127.094893,대지 넓은 신축 상가주택  통매매 입니다,"['2년이내', '동향']",명품부동산공인중개사사무소
2059647054,1126010100,C03,A1,2/-1,63000,86,129,남향,37.589197,127.08675,초역세권 준주거 입주 가능한 다가구 매매 추천 합니다,"['역세권', '남향']",명품부동산공인중개사사무소
2059709775,1126010400,C02,A1,3/6,27000,40,29,남서향,37.605905,127.075836,신축빌라전문 신혼부부추천 신묵초인근 2룸1욕실 실14p,"['역세권', '화장실한개', '소형평수']",서강공인중개사사무소
2059276695,1126010500,C02,A1,-1/4,15300,59,53,북향,37.598153,127.098935,지층 수리된 공간좋은 빌라 입주 가능합니다,"['25년이내', '소형평수', '방세개']",명품부동산공인중개사사무소
2059670109,1126010100,C02,A1,4/6,28800,36,29,남향,37.591922,127.093006,2룸 면목동 동원시장인근 생활인프라우수,"['2년이내', '화장실한개', '소형평수']",참조은부동산공인중개사사무소
2059277647,1126010100,C03,A1,5/0,265000,193,386,동향,37.589205,127.094893,불법없는 입주가능한 신축다가구 3면도로 주차 좋고 엘리베이터설치,"['2년이내', '화장실네개이상', '방네개이상']",참조은부동산공인중개사사무소
